dataset,kmeans,cure,ezr
7z,21,28,47
A2C_Acrobot,0,3,2
A2C_CartPole,0,5,0
Apache_AllMeasurements,28,39,64
BDBC,25,34,59
BankChurners,0,6,8
Car_price_cleaned,5,13,10
Data_COVID19_Indonesia,3,5,56
FFM-1000-200-0,0,0,0
FFM-125-25-0,0,0,0
FFM-250-50-0,0,0,0
FFM-500-100-0,0,0,0
FM-500-100-0,0,0,0
FM-500-100-1,0,0,0
HSMGP_num,57,75,72
HSQLDB,28,35,60
Health-ClosedIssues0000,3,20,61
Health-ClosedIssues0001,5,7,0
Health-ClosedIssues0002,96,100,69
Health-ClosedIssues0003,24,29,0
Health-ClosedIssues0004,14,14,0
Health-ClosedIssues0005,59,62,51
Health-ClosedIssues0006,4,5,0
Health-ClosedIssues0007,69,73,0
Health-ClosedIssues0008,0,0,0
Health-ClosedIssues0009,33,41,0
Health-ClosedIssues0010,25,31,0
Health-ClosedIssues0011,74,74,74
Health-ClosedPRs0000,97,100,100
Health-ClosedPRs0002,94,100,71
Health-ClosedPRs0003,94,96,100
Health-ClosedPRs0004,67,73,74
Health-ClosedPRs0005,74,76,93
Health-ClosedPRs0006,81,79,10
Health-ClosedPRs0007,63,63,0
Health-ClosedPRs0008,72,82,0
Health-ClosedPRs0009,44,51,0
Health-ClosedPRs0010,35,44,0
Health-ClosedPRs0011,94,97,100
Health-Commits0000,0,8,82
Health-Commits0001,83,86,98
Health-Commits0002,96,99,69
Health-Commits0003,21,27,0
Health-Commits0004,37,47,0
Health-Commits0005,3,7,17
Health-Commits0006,70,77,68
Health-Commits0007,8,28,36
Health-Commits0008,25,22,0
Health-Commits0009,36,46,0
Health-Commits0010,22,28,1
Health-Commits0011,73,74,74
LLVM,0,1,29
Life_Expectancy_Data,6,19,1
Loan,0,0,0
Marketing_Analytics,0,0,0
Medical_Data_and_Hospital_Readmissions,0,0,0
PostgreSQL,31,44,52
SQL_AllMeasurements,0,0,0
SS-A,14,27,8
SS-B,42,69,37
SS-C,2,0,29
SS-D,4,16,15
SS-E,2,5,23
SS-F,2,6,12
SS-G,4,14,8
SS-H,5,11,87
SS-I,17,16,3
SS-J,2,6,26
SS-K,0,0,5
SS-L,0,1,45
SS-M,26,43,93
SS-N,0,0,0
SS-O,0,6,0
SS-P,2,8,77
SS-Q,24,36,89
SS-R,2,19,37
SS-S,16,16,4
SS-T,14,25,10
SS-U,3,6,44
SS-V,0,0,71
SS-W,0,0,0
SS-X,17,12,31
Scrum100k,0,0,0
Scrum10k,0,0,0
Scrum1k,0,0,0
WA_Fn-UseC_-HR-Employee-Attrition,0,1,0
WA_Fn-UseC_-Telco-Customer-Churn,28,34,15
Wine_quality,0,0,0
X264_AllMeasurements,11,34,60
accessories,75,82,0
all_players,0,30,0
auto93,25,33,0
billing10k,0,1,0
coc1000,0,0,0
dataset120,29,18,19
dataset600,13,11,15
dconvert,21,42,41
deeparch,6,10,31
dress-up,95,98,0
exastencils,1,1,2
home_data_for_ml_course,1,2,0
javagc,54,51,7
nasa93dem,53,82,40
player_statistics_cleaned_final,17,58,46
pom3a,0,0,0
pom3b,0,0,0
pom3c,0,0,0
pom3d,0,0,0
redis,0,0,0
rs-6d-c3_obj1,2,7,18
rs-6d-c3_obj2,43,45,36
socks,38,44,40
sol-6d-c2-obj1,10,13,17
storm,18,23,45
student_dropout,9,21,100
wallpaper,26,43,51
wc+rs-3d-c4-obj1,28,28,22
wc+sol-3d-c4-obj1,16,39,18
wc+wc-3d-c4-obj1,21,35,15
wc-6d-c1-obj1,0,0,7
x264,0,0,0
xomo_flight,1,1,0
xomo_ground,0,0,0
xomo_osp,0,0,0
xomo_osp2,0,0,0
