dataset,10,20,50,100,200
7z,0,8,18,24,24
A2C_Acrobot,0,0,0,3,23
A2C_CartPole,0,0,0,5,13
Apache_AllMeasurements,0,4,6,20,38
BDBC,1,6,12,16,28
BankChurners,0,1,4,5,3
Car_price_cleaned,1,0,2,23,55
Data_COVID19_Indonesia,2,10,10,38,48
FFM-1000-200-0,0,0,0,1,0
FFM-125-25-0,0,0,0,0,0
FFM-250-50-0,0,0,0,0,0
FFM-500-100-0,0,0,0,0,0
FM-500-100-0,0,0,0,0,0
FM-500-100-1,0,0,0,0,0
HSMGP_num,1,9,49,71,78
HSQLDB,0,7,23,36,54
Health-ClosedIssues0000,17,11,30,43,48
Health-ClosedIssues0001,0,0,0,2,11
Health-ClosedIssues0002,6,81,92,97,99
Health-ClosedIssues0003,0,27,34,34,47
Health-ClosedIssues0004,0,3,20,20,24
Health-ClosedIssues0005,4,49,55,63,62
Health-ClosedIssues0006,0,9,18,15,19
Health-ClosedIssues0007,68,66,71,78,77
Health-ClosedIssues0008,0,0,0,1,0
Health-ClosedIssues0009,36,21,41,51,57
Health-ClosedIssues0010,0,35,29,30,38
Health-ClosedIssues0011,2,38,72,72,72
Health-ClosedPRs0000,22,60,100,100,100
Health-ClosedPRs0002,25,75,100,99,100
Health-ClosedPRs0003,18,67,100,100,100
Health-ClosedPRs0004,38,63,72,69,73
Health-ClosedPRs0005,19,55,68,74,77
Health-ClosedPRs0006,81,61,72,77,79
Health-ClosedPRs0007,34,56,64,64,64
Health-ClosedPRs0008,57,72,67,80,69
Health-ClosedPRs0009,36,57,63,63,61
Health-ClosedPRs0010,3,12,44,48,49
Health-ClosedPRs0011,0,44,97,95,99
Health-Commits0000,0,5,25,27,35
Health-Commits0001,3,57,78,85,84
Health-Commits0002,0,83,100,100,99
Health-Commits0003,3,27,22,27,28
Health-Commits0004,9,7,32,51,48
Health-Commits0005,0,2,10,13,26
Health-Commits0006,2,72,76,78,85
Health-Commits0007,0,4,7,28,45
Health-Commits0008,12,11,17,21,23
Health-Commits0009,0,30,32,46,49
Health-Commits0010,0,7,18,23,30
Health-Commits0011,17,46,71,71,71
LLVM,0,0,0,1,3
Life_Expectancy_Data,0,4,9,8,16
Loan,0,0,0,0,0
Marketing_Analytics,0,0,2,0,0
Medical_Data_and_Hospital_Readmissions,0,0,0,0,0
PostgreSQL,15,20,27,44,44
SQL_AllMeasurements,0,0,0,0,0
SS-A,37,24,37,39,84
SS-B,0,1,43,67,82
SS-C,0,2,17,12,34
SS-D,0,0,17,57,86
SS-E,0,0,2,7,11
SS-F,0,0,3,65,78
SS-G,0,0,6,59,70
SS-H,0,0,16,35,53
SS-I,0,0,13,15,29
SS-J,0,6,16,18,37
SS-K,0,0,0,0,0
SS-L,0,3,4,6,19
SS-M,7,1,21,29,51
SS-N,0,0,0,0,0
SS-O,0,0,4,4,11
SS-P,1,1,3,11,12
SS-Q,0,2,24,52,67
SS-R,0,0,3,12,33
SS-S,1,2,16,26,39
SS-T,0,0,8,24,28
SS-U,0,0,0,6,9
SS-V,0,0,1,0,0
SS-W,0,0,0,0,0
SS-X,0,4,17,25,26
Scrum100k,0,0,0,0,0
Scrum10k,0,0,0,0,0
Scrum1k,0,0,1,0,0
WA_Fn-UseC_-HR-Employee-Attrition,0,0,0,0,2
WA_Fn-UseC_-Telco-Customer-Churn,0,0,29,27,40
Wine_quality,0,0,1,1,1
X264_AllMeasurements,0,0,6,13,35
accessories,100,98,92,81,80
all_players,0,1,3,5,15
auto93,0,10,39,47,84
billing10k,0,0,0,0,0
coc1000,0,0,0,0,0
dataset120,0,17,15,22,20
dataset600,0,16,0,13,4
dconvert,1,6,15,23,25
deeparch,0,0,0,2,10
dress-up,100,100,100,100,100
exastencils,0,0,0,0,1
home_data_for_ml_course,0,0,0,9,13
javagc,68,17,36,54,46
nasa93dem,0,10,51,80,80
player_statistics_cleaned_final,0,0,34,60,100
pom3a,0,0,0,0,0
pom3b,0,0,0,0,0
pom3c,0,0,0,0,0
pom3d,0,0,0,0,1
redis,0,0,0,0,0
rs-6d-c3_obj1,0,1,23,40,43
rs-6d-c3_obj2,54,33,55,64,70
socks,0,0,39,95,100
sol-6d-c2-obj1,0,0,2,8,16
storm,0,7,17,24,33
student_dropout,13,29,39,49,51
wallpaper,0,3,36,53,69
wc+rs-3d-c4-obj1,0,7,7,59,80
wc+sol-3d-c4-obj1,0,0,10,72,82
wc+wc-3d-c4-obj1,0,1,13,72,86
wc-6d-c1-obj1,0,0,0,1,1
x264,0,0,0,0,0
xomo_flight,0,0,0,0,0
xomo_ground,0,0,1,0,0
xomo_osp,0,0,0,0,0
xomo_osp2,0,0,0,0,0
