dataset,performance_error,stability_agreement
7z,5.73,22
A2C_Acrobot,49.44,0
A2C_CartPole,57.45,0
Apache_AllMeasurements,8.04,14
BDBC,1.4,17
BankChurners,50.42,2
Car_price_cleaned,35.57,5
Data_COVID19_Indonesia,66.82,6
FFM-1000-200-0,47.25,0
FFM-125-25-0,48.22,0
FFM-250-50-0,41.9,0
FFM-500-100-0,45.89,0
FM-500-100-0,48.29,0
FM-500-100-1,34.84,0
HSMGP_num,13.83,44
HSQLDB,1.63,20
Health-ClosedIssues0000,39.43,25
Health-ClosedIssues0001,67.84,0
Health-ClosedIssues0002,21.44,96
Health-ClosedIssues0003,46.38,21
Health-ClosedIssues0004,61.34,9
Health-ClosedIssues0005,35.6,67
Health-ClosedIssues0006,30.58,12
Health-ClosedIssues0007,88.42,70
Health-ClosedIssues0008,32.02,0
Health-ClosedIssues0009,76.46,35
Health-ClosedIssues0010,72.33,27
Health-ClosedIssues0011,0.0,64
Health-ClosedPRs0000,0.0,100
Health-ClosedPRs0002,0.0,98
Health-ClosedPRs0003,1.26,98
Health-ClosedPRs0004,45.55,69
Health-ClosedPRs0005,0.0,69
Health-ClosedPRs0006,70.71,64
Health-ClosedPRs0007,34.15,64
Health-ClosedPRs0008,72.35,69
Health-ClosedPRs0009,61.56,43
Health-ClosedPRs0010,68.71,55
Health-ClosedPRs0011,0.0,98
Health-Commits0000,35.47,18
Health-Commits0001,3.3,85
Health-Commits0002,51.29,98
Health-Commits0003,61.29,23
Health-Commits0004,58.69,32
Health-Commits0005,37.47,13
Health-Commits0006,46.67,78
Health-Commits0007,70.89,23
Health-Commits0008,56.78,20
Health-Commits0009,34.65,33
Health-Commits0010,38.35,17
Health-Commits0011,0.0,64
LLVM,24.68,0
Life_Expectancy_Data,29.73,3
Loan,60.05,0
Marketing_Analytics,63.05,0
Medical_Data_and_Hospital_Readmissions,0.0,0
PostgreSQL,7.61,31
SQL_AllMeasurements,47.65,0
SS-A,19.47,24
SS-B,23.08,27
SS-C,27.05,5
SS-D,37.27,5
SS-E,37.5,2
SS-F,28.57,4
SS-G,33.44,6
SS-H,37.84,11
SS-I,48.89,10
SS-J,14.59,21
SS-K,38.54,0
SS-L,16.84,1
SS-M,8.39,18
SS-N,60.66,0
SS-O,30.31,0
SS-P,16.84,1
SS-Q,13.05,15
SS-R,33.28,1
SS-S,20.29,27
SS-T,10.21,19
SS-U,8.99,1
SS-V,37.31,0
SS-W,67.23,0
SS-X,63.65,15
Scrum100k,49.59,0
Scrum10k,47.55,0
Scrum1k,37.63,0
WA_Fn-UseC_-HR-Employee-Attrition,42.51,0
WA_Fn-UseC_-Telco-Customer-Churn,4.25,22
Wine_quality,64.48,0
X264_AllMeasurements,5.79,4
accessories,67.82,86
all_players,50.42,9
auto93,38.05,51
billing10k,37.47,0
coc1000,55.31,0
dataset120,49.32,1
dataset600,41.58,12
dconvert,10.04,15
deeparch,23.41,1
dress-up,67.17,98
exastencils,37.21,0
home_data_for_ml_course,46.04,16
javagc,11.49,42
nasa93dem,46.35,74
player_statistics_cleaned_final,31.23,46
pom3a,51.71,0
pom3b,54.72,0
pom3c,56.97,0
pom3d,38.65,0
redis,66.58,0
rs-6d-c3_obj1,66.45,20
rs-6d-c3_obj2,0.89,47
socks,19.46,51
sol-6d-c2-obj1,5.85,3
storm,1.02,9
student_dropout,45.7,20
wallpaper,67.09,27
wc+rs-3d-c4-obj1,26.26,14
wc+sol-3d-c4-obj1,20.07,14
wc+wc-3d-c4-obj1,30.15,14
wc-6d-c1-obj1,27.21,0
x264,62.21,0
xomo_flight,37.12,0
xomo_ground,44.92,0
xomo_osp,41.37,0
xomo_osp2,46.21,0
