trt, performance_error, stability_aggreement, best_performance, best_stability
near, 5.63, 48, 1, 20
xploit, 15.83, 58, 0, 41
xplor, 13.60, 45, 0, 17
adapt, 13.62, 6, 0, 6
bore, 16.96, 40, 0, 17
random, 5.68, 6, 1, 6
