trt, performance_error, stability_aggreement, best_performance, best_stability
near, 18.03, 18, 1, 81
xploit, 28.79, 7, 1, 73
xplor, 28.11, 7, 1, 79
bore, 28.26, 14, 1, 86
random, 28.23, 7, 1, 73
