trt, performance_error, stability_aggreement, best_performance, best_stability
near, 33.29, 0, 1, 13
xploit, 27.01, 0, 1, 27
xplor, 33.09, 0, 1, 25
adapt, 29.34, 0, 1, 26
bore, 30.29, 0, 1, 9
random, 36.42, 0, 1, 26
