trt, performance_error, stability_aggreement, best_performance, best_stability
near, 13.55, 59, 1, 86
xploit, 17.33, 2, 1, 3
xplor, 14.51, 54, 1, 9
bore, 18.17, 1, 1, 0
random, 23.80, 0, 0, 2
