trt, performance_error, stability_aggreement, best_performance, best_stability
near, 23.03, 0, 1, 50
xploit, 28.53, 0, 1, 3
xplor, 23.75, 0, 1, 18
adapt, 24.23, 0, 1, 14
bore, 25.63, 0, 1, 15
random, 27.79, 0, 1, 14
