trt, performance_error, stability_aggreement, best_performance, best_stability
near, 1.75, 20, 1, 18
xploit, 0.22, 19, 1, 15
xplor, 0.00, 22, 1, 12
bore, 0.22, 23, 1, 30
random, 1.76, 29, 1, 27
