trt, performance_error, stability_aggreement, best_performance, best_stability
near, 34.73, 0, 1, 17
xploit, 42.43, 0, 1, 5
xplor, 40.53, 0, 1, 46
adapt, 38.83, 0, 1, 30
bore, 39.35, 0, 1, 2
random, 39.47, 0, 1, 30
