trt, performance_error, stability_aggreement, best_performance, best_stability
near, 24.16, 3, 1, 65
xploit, 29.74, 0, 0, 7
xplor, 30.78, 0, 0, 11
adapt, 33.15, 0, 0, 6
bore, 24.17, 0, 1, 11
random, 19.50, 0, 1, 6
