trt, performance_error, stability_aggreement, best_performance, best_stability
near, 34.13, 0, 1, 16
xploit, 33.14, 0, 1, 25
xplor, 36.76, 0, 1, 25
adapt, 33.28, 0, 1, 23
bore, 39.65, 0, 1, 13
random, 36.10, 0, 1, 23
