trt, performance_error, stability_aggreement, best_performance, best_stability
near, 47.37, 0, 1, 33
xploit, 46.37, 0, 1, 24
xplor, 56.48, 0, 0, 14
adapt, 46.94, 0, 1, 16
bore, 47.98, 0, 1, 13
random, 49.55, 0, 1, 16
