trt, performance_error, stability_aggreement, best_performance, best_stability
near, 3.92, 33, 1, 75
xploit, 4.09, 3, 1, 8
xplor, 8.24, 0, 0, 2
bore, 3.48, 3, 1, 10
random, 6.50, 4, 0, 5
