trt, performance_error, stability_aggreement, best_performance, best_stability
near, 3.41, 37, 1, 87
xploit, 3.92, 0, 1, 0
xplor, 3.02, 0, 1, 3
bore, 3.30, 0, 1, 0
random, 2.53, 0, 1, 10
