trt, performance_error, stability_aggreement, best_performance, best_stability
near, 32.33, 18, 1, 75
xploit, 46.86, 0, 0, 5
xplor, 29.39, 0, 1, 19
bore, 37.73, 3, 0, 1
random, 21.80, 0, 1, 1
