trt, performance_error, stability_aggreement, best_performance, best_stability
near, 1.34, 80, 1, 24
xploit, 1.34, 88, 1, 23
xplor, 2.58, 34, 1, 10
bore, 1.34, 88, 1, 23
random, 1.90, 69, 1, 21
