trt, performance_error, stability_aggreement, best_performance, best_stability
near, 23.41, 10, 0, 63
xploit, 14.98, 12, 1, 68
xplor, 15.81, 10, 0, 42
adapt, 6.87, 10, 1, 42
bore, 5.67, 10, 1, 53
random, 11.64, 10, 1, 42
