trt, performance_error, stability_aggreement, best_performance, best_stability
near, 14.76, 7, 1, 13
xploit, 32.80, 0, 1, 23
xplor, 14.76, 9, 1, 36
bore, 35.97, 0, 1, 15
random, 0.00, 8, 1, 13
