trt, performance_error, stability_aggreement, best_performance, best_stability
near, 30.86, 0, 1, 17
xploit, 30.11, 0, 1, 13
xplor, 25.20, 0, 1, 23
adapt, 27.90, 0, 1, 17
bore, 34.57, 0, 1, 30
random, 33.85, 0, 1, 17
