trt, performance_error, stability_aggreement, best_performance, best_stability
near, 48.74, 0, 0, 34
xploit, 36.50, 0, 1, 13
xplor, 50.45, 0, 0, 23
bore, 47.31, 0, 1, 8
random, 38.69, 0, 1, 22
