trt, performance_error, stability_aggreement, best_performance, best_stability
near, 2.28, 10, 1, 46
xploit, 1.60, 13, 1, 52
xplor, 0.45, 10, 1, 44
adapt, 0.22, 10, 1, 45
bore, 1.64, 44, 1, 81
random, 2.22, 10, 1, 45
