trt, performance_error, stability_aggreement, best_performance, best_stability
near, 0.95, 37, 1, 18
xploit, 0.95, 17, 1, 16
xplor, 0.92, 36, 1, 31
bore, 0.95, 35, 1, 24
random, 0.95, 39, 1, 11
