trt, performance_error, stability_aggreement, best_performance, best_stability
near, 15.51, 0, 1, 47
xploit, 16.52, 0, 1, 1
xplor, 16.77, 0, 1, 18
bore, 16.05, 0, 1, 24
random, 21.69, 0, 0, 10
