trt, performance_error, stability_aggreement, best_performance, best_stability
near, 0.00, 66, 1, 77
xploit, 61.13, 0, 1, 0
xplor, 26.61, 0, 1, 12
adapt, 0.00, 0, 1, 11
bore, 26.61, 0, 1, 0
random, 0.00, 0, 1, 11
