dataset600,0.4,0.47,0.42,0.55,0.56
dconvert,0.89,1.0,1.0,1.0,1.0
deeparch,0.94,0.97,0.98,0.98,0.99
dress-up,1.0,0.96,0.97,1.0,1.0
exastencils,0.95,0.99,1.0,1.0,1.0
home_data_for_ml_course,0.92,0.98,1.0,1.0,1.0
javagc,0.0,0.88,0.95,1.0,1.0
nasa93dem,1.0,1.0,1.0,1.0,1.0
player_statistics_cleaned_final,0.0,0.0,0.02439,0.073171,0.097561
pom3a,0.32,0.45,0.49,0.5,0.56
pom3b,0.23,0.31,0.33,0.39,0.39
pom3c,0.9,0.9,0.85,0.91,0.91
pom3d,0.0,0.01,0.01,0.05,0.14
redis,0.02,0.07,0.34,0.6,0.82
rs-6d-c3_obj1,0.69,0.8,0.94,0.98,1.0
rs-6d-c3_obj2,0.18,0.6,0.84,0.97,1.0
socks,0.0,0.16,0.96,1.0,1.0
sol-6d-c2-obj1,0.08,0.83,0.96,0.98,1.0
storm,0.04,0.71,0.92,0.94,0.98
student_dropout,0.75,1.0,1.0,1.0,1.0
wallpaper,0.93,1.0,1.0,1.0,1.0
wc+rs-3d-c4-obj1,0.0,0.0,0.050505,0.565657,0.79798
wc+sol-3d-c4-obj1,0.0,0.0,0.0,0.0,0.808081
wc+wc-3d-c4-obj1,0.0,0.040404,0.010101,0.616162,0.858586
wc-6d-c1-obj1,0.07,0.81,0.95,0.99,1.0
x264,0.96,0.99,0.98,0.99,0.99
xomo_flight,0.04,0.37,0.52,0.55,0.78
xomo_ground,0.04,0.45,0.52,0.66,0.7
xomo_osp,0.11,0.29,0.44,0.57,0.67
xomo_osp2,0.47,0.62,0.81,0.82,0.87
