row_id,b0,b1,b2,b3,b4,raw_val
60,0.20221082488056819,0.18504565711753884,0.26139033335612477,0.23680866733194172,0.14052157241384755,1/22/21|ID-JK|DKI Jakarta|3791|41|2169|1581|243016|3919|215475|23622|Province|n/a|DKI Jakarta|Indonesia|Asia|Jawa|UTC+07:00|Daerah Khusus Ibu Kota|1|5|44|267|4490.348298|664|10846145|16334.31|106.8361183|-6.204698991|349.53|22405.75|3.78|361.33|36.13|0|88.67|1.2|1.37
61,0.23782009862917056,0.1962502117718874,0.19434593000726436,0.1047887040518599,0.0622544177907353,8/1/21|ID-RI|Riau|1202|33|849|320|98538|2623|82045|13870|Province|n/a|Riau|Indonesia|Asia|Sumatera|UTC+07:00|n/a|10|2|169|268|1591|87024|6074100|69.8|101.8051092|0.511647851|197.89|16222.65|5.43|431.83|43.18|0|83.26|0.74|0.66
62,0.27224965314280875,0.16218000269079305,0.06417386568335089,0.06437282933972155,0.04610579512003861,8/26/21|ID-PA|Papua|148|0|36|112|31805|505|18985|12315|Province|n/a|Papua|Indonesia|Asia|Papua|UTC+09:00|Daerah Khusus|28|1|560|110|5411|319036|4340348|13.6|138.69603|-4.66620953|34.1|7327.75|0|116.35|11.64|0|59.69|1.3|0
63,0.26549541878976374,0.13842358605161073,0.03756305710116208,0.03729549592982929,0.029647919880530785,4/6/21|ID-SB|Sumatera Barat|105|4|115|-14|32311|698|30254|1359|Province|n/a|Sumatera Barat|Indonesia|Asia|Sumatera|UTC+07:00|n/a|12|7|179|230|928|42013|5519245|131.37|100.4650624|-0.850253225|19.02|5854.24|0.72|126.47|12.65|0|93.63|2.06|1
64,0.24284517577556436,0.14886935325652764,0.07706896539802528,0.043169327886507604,0.05367308583851501,7/23/21|ID-SB|Sumatera Barat|753|13|158|582|64524|1378|52943|10203|Province|n/a|Sumatera Barat|Indonesia|Asia|Sumatera|UTC+07:00|n/a|12|7|179|230|928|42013|5519245|131.37|100.4650624|-0.850253225|136.43|11690.73|2.36|249.67|24.97|0|82.05|1.22|4.33
65,0.25985109637463166,0.18123242941982495,0.09790814073448309,0.06583835505798419,0.03530005455718388,8/1/21|ID-BE|Bengkulu|311|11|437|-137|18128|273|13176|4679|Province|n/a|Bengkulu|Indonesia|Asia|Sumatera|UTC+07:00|n/a|9|1|129|172|1341|19919|1999539|100.38|102.3384213|-3.533583627|155.54|9066.09|5.5|136.53|13.65|0|72.68|0.6|11
66,0.2597630729419707,0.0979221120087619,0.060122003971879695,0.03651365650343981,0.03469117222031069,8/16/21|ID-SG|Sulawesi Tenggara|86|2|169|-85|18699|444|15436|2819|Province|n/a|Sulawesi Tenggara|Indonesia|Asia|Sulawesi|UTC+08:00|n/a|15|2|219|377|1911|38068|2635461|69.23|122.070311|-4.124688793|32.63|7095.15|0.76|168.47|16.85|0|82.55|0.63|0.5
67,0.2523427750415506,0.17018636467037,0.04594121567247976,0.06132090883981094,0.0314382436742987,6/27/21|ID-BT|Banten|698|19|289|390|55623|1362|49256|5005|Province|n/a|Banten|Indonesia|Asia|Jawa|UTC+07:00|n/a|4|4|155|313|1238|9663|10722374|1109.64|106.1090043|-6.456736388|65.1|5187.56|1.77|127.02|12.7|0|88.55|2.62|4.75
68,0.2156444013198274,0.05661991798506828,0.04685813681407013,0.025598519815069117,0.015696105561084035,2/19/21|ID-SG|Sulawesi Tenggara|17|0|117|-100|9917|191|9070|656|Province|n/a|Sulawesi Tenggara|Indonesia|Asia|Sulawesi|UTC+08:00|n/a|15|2|219|377|1911|38068|2635461|69.23|122.070311|-4.124688793|6.45|3762.91|0|72.47|7.25|0|91.46|0.61|0
69,0.2574157617739752,0.14689487190517955,0.08475672134285367,0.07541035088841792,0.06215873174108268,9/22/21|ID-SA|Sulawesi Utara|31|3|139|-111|33933|1022|31876|1035|Province|n/a|Sulawesi Utara|Indonesia|Asia|Sulawesi|UTC+08:00|n/a|11|4|171|332|1507|13892|2641884|190.17|124.5212396|1.259638212|11.73|12844.24|1.14|386.85|38.68|0|93.94|0.63|1.074145242
70,0.22041852731117836,0.17317792763806208,0.04562696827961091,0.06384143579242349,0.04222209142712584,3/4/21|ID-JT|Jawa Tengah|593|19|692|-118|156605|6810|106840|42955|Province|n/a|Jawa Tengah|Indonesia|Asia|Jawa|UTC+07:00|n/a|29|6|576|753|7809|32801|36364072|1108.64|110.2011149|-7.259097177|16.31|4306.59|0.52|187.27|18.73|0|68.22|1.25|0.7
71,0.23697996604475763,0.17859071122733922,0.07944055066689032,0.05178055084188304,0.0453431841974506,9/25/21|ID-SS|Sumatera Selatan|21|2|83|-64|59503|3032|55924|547|Province|n/a|Sumatera Selatan|Indonesia|Asia|Sumatera|UTC+07:00|n/a|13|4|241|387|2853|91592|8217551|89.72|104.1694647|-3.216211808|2.56|7240.97|0.24|368.97|36.9|0|93.99|0.66|0.67
72,0.07786238280585517,0.010539888722178188,0.006930991576008495,0.0018340058364427145,0.0013600378018668662,5/1/20|ID-SS|Sumatera Selatan|6|0|5|1|156|3|29|124|Province|n/a|Sumatera Selatan|Indonesia|Asia|Sumatera|UTC+07:00|n/a|13|4|241|387|2853|91592|8217551|89.72|104.1694647|-3.216211808|0.73|18.98|0|0.37|0.04|0|18.59|1|1
73,0.07786238280585517,0.010539888722178188,0.002693291758505964,0.0009290631509052086,0.0003624099707776295,5/29/20|ID-JA|Jambi|0|0|0|0|97|0|15|82|Province|n/a|Jambi|Indonesia|Asia|Sumatera|UTC+07:00|n/a|9|2|141|163|1399|50058|3493357|69.79|102.7236404|-1.69769766|0|27.77|0|0|0|0|15.46|1|1
74,0.24761367000961196,0.10479154454974549,0.03961372540720155,0.05351304703643915,0.035401946637412314,12/23/20|ID-KI|Kalimantan Timur|418|6|187|225|24893|696|21068|3129|Province|n/a|Kalimantan Timur|Indonesia|Asia|Kalimantan|UTC+08:00|n/a|7|3|103|197|841|129067|3552191|27.52|116.4684405|0.45385803|117.67|7007.79|1.69|195.94|19.59|0|84.63|2.3|0.86
75,0.2717867626501249,0.18471386640124174,0.1204476017185925,0.13818272237912851,0.07502069761299042,11/23/21|ID-KT|Kalimantan Tengah|4|0|2|2|45606|1429|44126|51|Province|n/a|Kalimantan Tengah|Indonesia|Asia|Kalimantan|UTC+07:00|n/a|13|1|136|139|1432|153565|2570289|16.74|113.4176536|-1.602484653|1.56|17743.53|0|555.97|55.6|0|96.75|4|1
76,0.24831168800684386,0.1752784870019511,0.041588346997350735,0.020411206705815997,0.01354552044985855,1/24/21|ID-JB|Jawa Barat|2388|12|1769|607|128623|1843|103638|23142|Province|n/a|Jawa Barat|Indonesia|Asia|Jawa|UTC+07:00|n/a|18|9|627|645|5312|35378|45161325|1276.55|107.6037083|-6.920432083|52.88|2848.08|0.27|40.81|4.08|0|80.58|1.37|0.57
77,0.17174556361132293,0.06499428327527297,0.05902009711228789,0.025095204348592092,0.015937166670036716,4/1/21|ID-SG|Sulawesi Tenggara|6|0|5|1|10273|205|9633|435|Province|n/a|Sulawesi Tenggara|Indonesia|Asia|Sulawesi|UTC+08:00|n/a|15|2|219|377|1911|38068|2635461|69.23|122.070311|-4.124688793|2.28|3897.99|0|77.79|7.78|0|93.77|0.86|1
78,0.24284517577556436,0.14969172770317626,0.13512934283507103,0.07548938670264013,0.07040247057247771,7/1/21|ID-KR|Kepulauan Riau|397|6|267|124|26321|550|21186|4585|Province|n/a|Kepulauan Riau|Indonesia|Asia|Sumatera|UTC+07:00|n/a|5|2|75|142|275|8202|1929400|235.24|108.261746|3.916346|205.76|13642.06|3.11|285.06|28.51|0|80.49|0.94|1.5
79,0.2608075433612138,0.14969172770317626,0.1293001452714459,0.08575156575335369,0.06621338125442904,6/30/21|ID-KR|Kepulauan Riau|421|4|60|357|25924|544|20919|4461|Province|n/a|Kepulauan Riau|Indonesia|Asia|Sumatera|UTC+07:00|n/a|5|2|75|142|275|8202|1929400|235.24|108.261746|3.916346|218.2|13436.3|2.07|281.95|28.2|0|80.69|0.88|0.22
80,0.2552916946003717,0.06978468224777766,0.06396433171980588,0.02702452236992137,0.02271584022785248,12/19/20|ID-KU|Kalimantan Utara|60|0|101|-41|2687|30|1490|1167|Province|n/a|Kalimantan Utara|Indonesia|Asia|Kalimantan|UTC+08:00|n/a|4|1|53|35|447|75468|648407|8.59|116.2188791|2.891012621|92.53|4144|0|46.27|4.63|0|55.45|0.71|0
