row_id,b0,b1,b2,b3,b4,raw_val
0,0.48874784040451547,0.4602910189607075,0.2591005431616183,0.2591005431616183,0.2591005431616183,0.0|369.0|0.0|6.0|0.333|3.1|2.0|3.2|7.8|6.5|343.0|0.849|0.192|412.0|1.66|0.33|0.47|0.15|-208.0|2.0|-18.0|0.5|0.0|0.0|1.0|0.0|0.0
1,0.4656845238929436,0.34462992800236514,0.23495727161610822,0.23495727161610822,0.23495727161610822,0.0|369.0|0.0|14.0|0.5|4.4|4.2|2.1|5.0|9.3|429.0|0.673|0.275|625.0|1.1|0.35|0.26|0.13|-207.0|-4.0|71.0|0.143|0.071|0.0|1.930232558139535|0.0|0.0
2,0.5241659431450143,0.8678982060550333,0.6896176640252087,0.6896176640252087,0.6896176640252087,0.0|369.0|0.0|5.0|0.2|2.7|1.8|3.6|8.0|5.8|323.0|0.761|0.125|303.0|1.6|0.46|0.39|0.44|58.0|10.0|402.0|0.6|0.2|0.0|1.930232558139535|0.0|0.0
3,0.4515281336757516,0.29040417658788603,0.1433328546122837,0.1433328546122837,0.1433328546122837,0.0|369.0|0.0|8.0|0.375|3.1|4.8|3.1|4.9|9.3|444.0|0.684|0.266|610.0|1.28|0.33|0.43|0.08|44.0|-4.0|50.0|0.0|0.0|0.0|1.930232558139535|0.0|0.0
4,0.7991278497134782,1.1698717252565964,0.0,0.0,0.0,0.0|369.0|0.0|3.0|0.333|3.1|1.0|4.0|11.3|5.5|330.0|0.806|0.171|440.0|1.74|0.49|0.43|0.43|186.0|-4.0|168.0|0.667|0.0|0.0|1.930232558139535|0.0|0.0
5,0.48449525229626367,0.4779279852567001,0.14919201899590576,0.14919201899590576,0.14919201899590576,0.0|369.0|0.0|8.0|0.5|3.1|0.4|3.1|9.4|1.2|242.0|0.716|0.07|161.0|3.58|1.73|0.59|0.52|-48.0|2.0|145.0|0.125|0.125|0.0|1.930232558139535|0.0|0.0
6,0.4771469178121882,0.4597466868412692,0.14919201899590576,0.14919201899590576,0.14919201899590576,0.0|369.0|0.0|8.0|0.375|2.8|0.6|3.1|8.3|1.3|238.0|0.672|0.08|165.0|3.52|1.99|0.48|0.49|-209.0|5.0|334.0|0.375|0.125|0.0|1.930232558139535|0.0|0.0
7,0.4837956249415694,0.3557982665784164,0.19588091648273404,0.19588091648273404,0.19588091648273404,0.0|369.0|0.0|9.0|0.333|4.8|5.0|2.0|4.7|10.1|449.0|0.815|0.308|650.0|1.16|0.39|0.34|0.1|-112.0|1.0|97.0|0.333|0.0|0.0|2.0|0.0|0.0
8,0.524459802898762,0.3509190378574796,0.10868667562347839,0.10868667562347839,0.10868667562347839,0.0|369.0|0.0|8.0|0.625|7.2|5.0|1.6|6.8|9.8|453.0|0.688|0.31|702.0|1.11|0.26|0.38|0.07|-118.0|-10.0|-710.0|0.25|0.0|0.0|1.0|0.0|0.0
9,0.2920738083647948,0.19683509959442186,0.08595557478208557,0.08595557478208557,0.08595557478208557,0.0|369.0|0.0|5.0|0.2|1.2|2.2|3.6|2.2|7.1|356.0|0.47|0.179|406.0|0.76|0.35|0.1|0.09|-525.0|-16.0|-49.0|0.0|0.2|0.0|2.0|0.0|0.0
10,0.4078785829915225,0.29813641769003635,0.10614644865083879,0.10614644865083879,0.10614644865083879,0.0|369.0|0.0|9.0|0.333|1.7|1.9|4.6|6.0|5.3|308.0|0.629|0.129|277.0|1.5|0.52|0.31|0.46|-325.0|-8.0|-367.0|0.333|0.111|0.0|1.930232558139535|0.0|0.0
11,0.6017328693612252,1.102471458963179,0.6896176640252087,0.6896176640252087,0.6896176640252087,0.0|369.0|0.0|5.0|0.2|3.3|1.0|3.2|9.6|1.0|237.0|0.806|0.052|128.0|3.47|2.03|0.33|0.56|-21.0|1.0|109.0|0.8|0.0|0.0|1.930232558139535|0.0|0.0
12,0.5102254962814743,0.3452842603268099,0.1891538574492953,0.1891538574492953,0.1891538574492953,0.0|369.0|0.0|8.0|0.5|4.4|2.0|2.3|7.9|6.0|332.0|0.704|0.135|306.0|1.74|0.51|0.43|0.38|138.0|-1.0|-29.0|0.0|0.375|0.0|1.930232558139535|0.0|0.0
13,0.48311559256606446,0.39105551827958523,0.36543065122163043,0.36543065122163043,0.36543065122163043,0.0|369.0|0.0|8.0|0.375|3.7|3.4|2.5|5.9|8.2|399.0|0.623|0.222|501.0|1.24|0.45|0.23|0.15|224.0|0.0|342.0|0.125|0.0|0.0|1.0|0.0|0.0
14,0.5060830257032262,1.0024842709700565,0.5800409440454386,0.5800409440454386,0.5800409440454386,0.0|369.0|0.0|8.0|0.875|4.8|4.6|2.4|6.8|7.9|414.0|0.691|0.234|575.0|1.22|0.38|0.31|0.12|741.0|8.0|40.0|0.625|0.0|0.0|2.0|0.0|0.0
15,0.5223613782418598,0.8554345335820619,0.6084348028882554,0.6084348028882554,0.6084348028882554,0.0|369.0|0.0|10.0|0.5|3.8|2.4|2.4|6.6|6.1|346.0|0.672|0.15|349.0|1.69|0.47|0.38|0.32|20.0|4.0|51.0|0.6|0.2|0.0|1.0|0.0|0.0
16,0.6972392344904957,1.2762877297773922,0.0,0.0,0.0,0.0|369.0|0.0|10.0|0.5|3.6|0.8|2.9|9.7|1.0|252.0|0.783|0.069|166.0|3.68|1.7|0.51|0.46|185.0|-4.0|-258.0|0.7|0.0|0.0|1.930232558139535|0.0|0.0
17,0.9361415843169673,0.4433140834497611,0.43413678580344534,0.43413678580344534,0.43413678580344534,0.0|369.0|0.0|12.0|0.667|2.7|0.4|4.3|11.1|1.1|249.0|0.66|0.06|150.0|4.08|2.36|0.57|0.67|-32.0|-1.0|-74.0|0.167|0.167|0.0|1.930232558139535|0.0|0.0
18,0.4548023955400527,0.203484989793507,0.23741682078470244,0.23741682078470244,0.23741682078470244,0.0|369.0|0.0|5.0|0.2|2.3|2.2|3.0|4.8|7.5|357.0|0.542|0.208|523.0|1.12|0.43|0.23|0.18|-311.0|-10.0|-168.0|0.2|0.0|0.0|1.930232558139535|0.0|0.0
