row_id,b0,b1,b2,b3,b4,raw_val
0,0.19228147611880608,0.18431921556182498,0.13810206826240468,0.10734059283438238,0.07869628004746751,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|1|0|1|1|1|0|1|1|1|0|0|1|1|1|1|1|1|0|1|1|0|1|1|1|246|19|31
1,0.16770788013500376,0.13856771972896934,0.14718931461133647,0.07576757085174211,0.09864875107780108,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|0|1|1|1|1|0|1|0|1|0|0|0|1|1|1|1|0|0|1|1|0|1|0|1|226|18|27
2,0.16869460730675462,0.11967052335361349,0.11420741573967332,0.07731238505823777,0.053275655530623967,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|0|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|0|1|1|1|1|1|0|1|256|19|31
3,0.15731006164789343,0.14352183563673282,0.078638948080297,0.07672217705663652,0.06574045648518521,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|0|1|250|20|30
4,0.1719359500682033,0.12919322394341018,0.10151631926568451,0.124795063162147,0.11340345205161842,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|1|0|0|1|1|1|1|0|1|241|18|30
5,0.16055303330134732,0.15967242275813812,0.11827126170801486,0.1232079588184382,0.050264529933722005,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|1|248|20|31
6,0.1225227176808467,0.11911159242709365,0.09637619812164062,0.07848489033995833,0.06464888546123515,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|266|21|33
7,0.19921844026514957,0.16522217912991793,0.15344529666344153,0.1457122480262373,0.12074448170775874,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|1|0|1|1|0|1|1|0|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|247|21|32
8,0.1702170120162834,0.15673848513314487,0.08822424150111939,0.11088639707272899,0.06015778145637772,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|0|0|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|251|20|31
9,0.20931700632709685,0.12038022801895143,0.11557456353618216,0.0925777098706615,0.07194052315571017,0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|1|1|0|1|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|0|1|0|0|1|0|1|1|1|1|0|0|1|0|1|0|0|1|1|0|1|1|0|1|1|1|1|0|0|1|1|1|1|1|0|0|1|1|0|1|0|1|242|19|30
