row_id,b0,b1,b2,b3,b4,raw_val
0,0.20378239727704048,0.20860219845388794,0.16546709929800188,0.06322396712045665,0.06034237286220332,-302.58|26285.8096|99229|-0.0024106923340117|0.951|-2.154|18|0.01|0.906|3.575|0.915|1|256|0
1,0.28586540501673724,0.18688892065241644,0.13358315597161408,0.1492399193868631,0.09548372294442728,-417.3|16360.682|99471|-0.0036026101856123|0.96|-4.926|9|0.002|0.556|2.05|0.996|1|16|0
2,0.2309474034488902,0.2517677245642741,0.1356365993294689,0.10989204864141283,0.06854214246475601,-173.95|26630.4285|98310|-0.0013922523704777|0.954|-4.457|10|0.003|0.804|4.626|0.946|1|128|0
3,0.2536471622136888,0.22764486466329142,0.16239138059084385,0.07413344052155171,0.045383825844672036,-122.55|15871.2825|99579|-0.0010614866924496|0.983|-4.01|10|0.003|0.511|4.129|0.917|1|512|0
4,0.18081411013056792,0.25688920593117376,0.16799047453165444,0.05465119686325244,0.03633989370676668,-451.01|9719.2809|98917|-0.004151521432271|0.98|-2.904|16|0.004|0.806|2.24|0.905|2|32|16
5,0.25813352201505735,0.18821878514114754,0.14831552550155183,0.08948106793557355,0.08069092335427336,-500.0|0.0|100000|-0.0049999500005|0.957|-2.047|6|0.004|0.632|3.764|0.918|1|512|0
6,0.2113943651316803,0.24424559124806922,0.14531971065890817,0.11938661233975131,0.06896840843300932,-500.0|0.0|99865|-0.0050067089900466|0.944|-4.766|19|0.009|0.947|4.146|0.91|1|32|0
7,0.3081745986068358,0.2831686501652906,0.20949490861719225,0.12924899377735963,0.059037327000783374,-95.58|359.8036|99566|-0.0009565001236565|0.94|-2.235|17|0.002|0.75|3.298|0.966|1|16|0
8,0.2144479958860382,0.19238091511437588,0.13191978074087785,0.14368715439843424,0.06728464007946387,-260.64|19118.4744|99778|-0.0021921407608974|0.99|-4.934|8|0.009|0.567|2.844|0.965|2|16|32
9,0.20072908891812735,0.22311120085443145,0.17746570704046738,0.16526549201631777,0.10337726510061604,-496.19|130.6449|98784|-0.0050162944446414|0.958|-4.884|6|0.009|0.658|4.76|0.919|2|256|32
10,0.24890692379388574,0.2014332090465552,0.20129585024109287,0.12927255897541295,0.031664826749785505,-464.39|11412.6489|99317|-0.0041938704831341|0.952|-2.498|16|0.005|0.654|4.814|0.956|1|512|0
11,0.278052609901202,0.3060677554309609,0.19509339163403588,0.16869779474322555,0.20928007372372168,-202.22|23248.4356|99814|-0.0016432175732301|0.914|-2.59|19|0.001|0.997|4.438|1.0|2|16|64
12,0.2677629489042991,0.26504882399113155,0.21453820612528676,0.12600323481701406,0.07048233842445921,-124.61|10529.7109|99503|-0.0011324711216296|0.954|-2.051|10|0.002|0.91|2.378|0.988|1|32|0
13,0.2594080376593079,0.27016771879549634,0.2107162246494376,0.1311199464601411,0.059037327000783374,-86.65|131.7825|99564|-0.0008691353705421|0.956|-2.374|18|0.0|0.936|3.054|0.977|1|32|0
14,0.16210057286546994,0.10320550028761323,0.06836655227735043,0.07580416154702554,0.031072727627957618,-500.0|0.0|99960|-0.0050019507607967|0.975|-4.954|18|0.001|0.623|1.768|0.94|2|512|16
15,0.20868874272405985,0.21339406945008862,0.1666841760824141,0.14526365680451206,0.0738370828518303,-500.0|0.0|98118|-0.0050958529948328|0.99|-3.617|11|0.001|0.584|2.775|0.921|2|16|32
16,0.24143692197896363,0.18718542134079072,0.2338928491882746,0.21305203536621112,0.062011193168583854,-176.29|26528.9529|99274|-0.0014013073193346|0.903|-2.802|6|0.005|0.679|3.522|0.946|2|32|512
17,0.27375309714635054,0.20730838796705,0.2034962578645793,0.06949906223110536,0.01279747132399577,-500.0|0.0|100000|-0.0049999500005|0.921|-2.32|11|0.007|0.866|4.554|0.975|2|64|512
18,0.16629191214493996,0.15430471857596725,0.18088005372559957,0.16604782038904223,0.0742149625895556,-426.61|19603.6789|99059|-0.0035951186070972|0.993|-2.579|11|0.006|0.67|1.856|0.914|2|512|64
19,0.24987540571156142,0.2630385276746048,0.17845640842931332,0.11385308981627501,0.039209058488923546,-115.42|941.9316|99451|-0.0011496710823107|0.952|-2.563|15|0.009|0.567|3.972|0.906|1|256|0
20,0.26794930305737313,0.25178454894425883,0.15532789930365956,0.1330781795553529,0.08703470231483891,-500.0|0.0|98384|-0.0050820755196422|0.976|-3.84|10|0.009|0.503|2.255|0.98|1|16|0
21,0.259962810066723,0.17356123095218084,0.15024447572753796,0.1299085541878027,0.2299290281431241,-132.13|15159.2581|99134|-0.0011560510755001|0.935|-3.252|9|0.006|0.639|4.199|0.94|1|16|0
22,0.20630357421679224,0.21191355286266902,0.16590538231641913,0.15009977487118742,0.06668768013245353,-500.0|0.0|99013|-0.0050497909386551|0.964|-4.868|14|0.008|0.956|3.202|0.979|1|64|0
23,0.23968140985317074,0.2193824526602626,0.19232922679393896,0.1307046453384364,0.13870729229206477,-241.62|23902.2016|99725|-0.0019544084349116|0.904|-2.529|17|0.01|0.672|3.136|0.908|1|64|0
24,0.21223786746985474,0.20669216521773995,0.1926976998440778,0.18830742823453145,0.10279190958078491,-369.72|16317.4016|99437|-0.0031939762195944|0.996|-3.116|9|0.009|0.992|3.847|0.931|2|64|128
