row_id,b0,b1,b2,b3,b4,raw_val
0,0.35176843517620787,0.44155549209433487,0.31109964057541695,0.31635584556849466,0.3893956690707354,268|21.7|5.9|0.41165|0.407857|0.629016|0.623846|0.1|0.973135|1
1,0.25711339371681646,0.18470704877224053,0.1910267731763677,0.21009370831327842,0.13131045219865708,2|2.7|1|0.00767357|0.00763636|0.0203704|0.0203704|0|0.6|1
2,0.31786019887139816,0.38249865684621176,0.17732647035509927,0.31458669357862923,0.11956544949590878,215|101.4|6.4|0.0648649|0.0648649|0.132093|0.132093|0|0.143721|1
3,0.4885119198238985,0.3839321958810582,0.2570619403641386,0.3719865795029188,0.39074128952616094,1230.1|323.8|30.4|0.807426|0.810968|0.786331|0.794064|1.6|0.833915|1
4,0.2661286949602164,0.14426245016127676,0.3013053437676698,0.10146810201533203,0.1361361304672687,6|12.1|5|0.383636|0.347619|0.320225|0.312121|0|1|1
5,0.6950419051024521,0.6065904234774288,0.470459815020277,0.5333001819243237,0.5717556746807132,43|56.6|14.5|0.96|0.934375|0.870588|0.875714|0|0.951163|1
6,0.316100825415401,0.4662064968226949,0.2347776792689978,0.3907465804187471,0.3822604098094063,367|73.2|23.6|0.500155|0.488839|0.660019|0.646866|0.2|0.585831|3
7,0.32503684472558936,0.33337476586349934,0.20452166098378416,0.38121286236886487,0.13000847511895472,179|194.7|51.5|0.184384|0.184384|0.190704|0.19057|0.1|0.420112|1
8,0.6239728438562873,0.7282577193577605,0.5856072526774583,0.6992023258096661,0.43968730652787763,295|76.6|12.8|0.886364|0.896|0.934921|0.938806|0|0.913559|2
9,0.2977236985494304,0.18470704877224053,0.3049534857579952,0.36567748756842683,0.14289042201225993,2.1|9.5|2|0.017234|0.0162651|0.0382353|0.0351351|0|0.966667|1
10,0.30043888686924813,0.18807156697018299,0.1917252280592008,0.19477243241868594,0.16560846423816433,3004|970.2|124|0.236713|0.236666|0.303049|0.301901|0|0.301166|1
11,0.28254349075704965,0.27467627794639116,0.2240019699367776,0.2482292764322294,0.09245504139576312,250|26.6|3|0.0403101|0.0416|0.065283|0.0673152|0|0.0184|1
12,0.30043888686924813,0.21314927132854586,0.2808587797825823,0.26320426269426983,0.3049499118652831,1801|853|202.2|?|0.46883|?|0.385946|3.8|0.416047|1
13,0.25711339371681646,0.18470704877224053,0.1910267731763677,0.21009370831327842,0.10147064718155473,11|1.8|0.2|0.00146389|0.00146771|0.00737302|0.00738916|0|0.0272727|1
14,0.31212940976918685,0.31552927372900363,0.16596452233942754,0.143677157792466,0.19892952274938508,615|41.4|10.3|0.0595745|0.059187|0.0251114|0.0251114|0|0.057561|1
15,0.37542273000250853,0.3914162850861364,0.3006419789443487,0.4763706078161288,0.4975334184938389,35|75.4|32.7|0.605865|0.563025|0.739767|0.734333|0|1|3
16,0.6294205917744202,0.5755520476390018,0.7226568440979845,0.6873409011671803,0.6962933253864751,321|376.5|112.4|0.934872|0.9405|0.969466|0.973384|14.3|0.970585|1
17,0.302586411178313,0.3749496377829703,0.22571482532900847,0.18574608534491427,0.3008835366474722,51|55.1|17.2|0.431373|0.431373|0.438202|0.438202|0|0.431373|1
18,0.2955963148289947,0.2732505158819757,0.20181002521801275,0.4407491698245529,0.48211916883680805,84|150.9|53.1|0.598901|0.598901|0.716751|0.716751|0|0.663095|1
19,0.4165184628405242,0.2142199533984827,0.34373683087854373,0.5014008623528655,0.3720592978035094,7|35.1|4.9|0.644872|0.65|0.891667|0.897222|0|1|2
