row_id,b0,b1,b2,b3,b4,raw_val
0,0.30878986863350394,0.2095245431671435,0.15080909656418073,0.14315849325133204,0.17120279330951393,0.6101571063207892|0.3755203996669441|0.2499999999999998|200|squared_error|17|2.75|8
1,0.20187472389290753,0.17125000035551188,0.17502033995884314,0.16738533871572467,0.1472577090167196,0.4936061381074169|0.4093810713294477|0.75|20|absolute_error|16|3.5|2
2,0.3268091711620996,0.20673325239649018,0.10721018523763454,0.14590415019922678,0.163008168856398,0.5973693825356229|0.3791285040244241|0.75|40|squared_error|12|7.25|6
3,0.26099102898867316,0.14466922164297627,0.1738179588679583,0.16249460766760754,0.17106122458020304,0.5981001096090611|0.3788509575353871|0.75|170|poisson|16|1.25|20
4,0.31606253875467344,0.23430020841497382,0.18034362197855577,0.17083261167231095,0.19026283593174118,0.6335403726708074|0.3688592839300582|0.2499999999999998|170|poisson|10|7.25|13
5,0.29553427133556154,0.27817807073949496,0.09528280538619764,0.1448558458366941,0.1623418866652174,0.566678845451224|0.3880099916736053|0.75|130|squared_error|14|5.0|13
6,0.2928365623308696,0.19876020252544904,0.2666460805458457,0.18941385486576373,0.13169582854069686,0.5995615637559372|0.3785734110463502|0.75|160|absolute_error|18|0.75|14
7,0.318103093219443,0.3161374616710434,0.1762210548201943,0.16670256748837844,0.1797713377515146,0.5743514797223236|0.385512073272273|0.75|150|poisson|9|6.75|12
8,0.28545834335789855,0.2333527549385461,0.18438059961411907,0.15370642259612768,0.15781314358062282,0.5502374862988674|0.3927282819872328|0.75|120|absolute_error|1|3.0|17
9,0.24986558650641763,0.1849596623316478,0.1464985537353076,0.16390039242888163,0.1318818340313457,0.5400073072707343|0.3957812933666389|0.75|50|squared_error|14|3.75|9
10,0.2506497907683725,0.21438324852080223,0.15976099940002653,0.17478052340743944,0.15734711497811,0.6156375593715747|0.3738551207327227|0.2499999999999998|90|poisson|17|7.25|11
11,0.2837599021001979,0.21606849908034734,0.15010840024814298,0.12359738464892188,0.1370303671461023,0.6364632809645597|0.3680266444629475|0.2499999999999998|190|absolute_error|13|5.0|17
12,0.37536810699194206,0.3848974896440648,0.34911990046680624,0.3543409687259555,0.18906338004806275,0.3266350018268176|0.6452955870108243|0.4999999999999998|70|squared_error|5|3.75|15
13,0.41843648593406463,0.38717052185559964,0.30536170925137285,0.22370962652693682,0.1838602591361329,0.4669345999269272|0.5159589231196225|1.0|50|squared_error|3|7.5|19
14,0.2879369091143541,0.27708235245440416,0.1674371494188557,0.14248146362686803,0.16834679590579651,0.5907928388746803|0.3810713294476824|0.75|200|poisson|9|3.0|3
15,0.24530339180126357,0.09576140428593397,0.126694519402957,0.14709126217118354,0.1392467784083413,0.5904274753379614|0.3810713294476824|0.75|90|absolute_error|11|7.75|5
16,0.318103093219443,0.3185639385733089,0.1809330975954876,0.1863117456943543,0.17566103423748955,0.5721592985020095|0.3863447127393838|0.75|140|poisson|9|7.5|12
17,0.44147989918832675,0.4115742613358798,0.32770194899468724,0.22282786049278897,0.2796041381668737,0.298867373036171|0.6219816819317235|0.75|200|squared_error|2|3.75|5
18,0.26099102898867316,0.2262412795823691,0.1941995690627503,0.15579821961369753,0.15459024369924104,0.5834855681402995|0.3830141548709408|0.75|150|poisson|10|1.25|16
19,0.29201384598366475,0.21192899240015628,0.1883614483299393,0.1440166801205464,0.15897844827794283,0.6412130069419072|0.3666389120177629|0.2499999999999998|20|poisson|10|9.25|9
20,0.25072308091253936,0.1850509854451443,0.13352848961107028,0.11682860787474252,0.16635174344620596,0.5619291194738765|0.3893977241187898|0.75|110|squared_error|17|1.25|3
21,0.23301725364161113,0.23841673172524264,0.1884643251808111,0.17885024480948852,0.14568559708311465,0.6415783704786262|0.3666389120177629|0.2499999999999998|90|poisson|20|2.25|2
22,0.26915773233943474,0.20426957054405395,0.22142424019537485,0.17378886266139595,0.13661865684430027,0.6678845451223967|0.3591451568137663|0.2499999999999998|10|absolute_error|18|1.0|8
23,0.2669348891984433,0.23657856627241203,0.15692484988828728,0.13462450848078625,0.1626181191647511,0.6390208257215929|0.3671940049958367|0.2499999999999998|160|poisson|2|4.0|6
24,0.35169264600435785,0.4301540835821769,0.34273049502205644,0.4327636741378051,0.25991822161081907,0.1172816952868103|0.674993061337774|0.75|50|squared_error|5|1.0|14
