row_id,b0,b1,b2,b3,b4,raw_val
0,0.40997384084238586,0.38017134142411735,0.2617112961934268,0.3534142447820853,0.3534142447820853,1000000.0|2|6|52611
1,0.4823944259309548,0.6366545485168444,0.4894819330189507,0.18383215742253955,0.18383215742253955,10|6|12|17812
2,0.5083296210641253,0.6718635387313184,0.37493895016844436,0.13058591320990343,0.13058591320990343,10|3|6|16094
3,0.4244655002059733,0.5581072925880525,0.634965834390222,0.362399819053838,0.362399819053838,10|2|18|18872
4,0.27066009980127254,0.2999909275698571,0.26947974366472355,0.34856714126600963,0.34856714126600963,1000000.0|3|15|20226
5,0.33352879432587107,0.3503760657134887,0.3379400867066454,0.03231048489037904,0.03231048489037904,10000|6|12|26973
6,0.5189920058845895,0.41635447324765756,0.27243794779451713,0.10991611279165497,0.10991611279165497,1000000.0|1|3|43144
7,0.400681867216296,0.34506651972871993,0.34729646746700615,0.03092839519349793,0.03092839519349793,1000|6|9|24362
8,0.5912823979814414,0.4004598577052058,0.33074937932080073,0.12429388286013077,0.12429388286013077,100|1|3|17561
9,0.37341183879216844,0.32762351331390166,0.37485924397615494,0.2787761628518961,0.2787761628518961,100|1|18|21201
10,0.45907452791028747,0.38258671181764825,0.41247270406725534,0.006589919231888432,0.006589919231888432,100|3|9|21596
11,0.41205684164773565,0.33929507513634,0.323632388934768,0.08856860945039403,0.08856860945039403,100|6|18|23940
12,0.27066009980127254,0.2999909275698571,0.33059127230513663,0.052324137317590065,0.052324137317590065,100000.0|6|15|26714
13,0.4296000997263399,0.6653777278762879,1.2983802086301195,0.03745590350706089,0.03745590350706089,1|2|12|4224.6
14,0.46026482888602227,0.650975200539677,0.5333184493014062,0.16780396882593196,0.16780396882593196,10|6|15|18604
15,0.4244655002059733,0.666869166112392,1.4744087842935036,0.03745590350706089,0.03745590350706089,1|1|18|4100.2
16,0.3731304609901222,0.36529480955767346,0.40011758012999815,0.026503491083696748,0.026503491083696748,10000|3|9|19366
17,0.25330886688992194,0.29841134398695585,0.3578092099622873,0.21876168992525857,0.21876168992525857,1000|1|18|23878
18,0.3800109043619625,0.3087258750864478,0.39822509413015283,0.1599822693036293,0.1599822693036293,100|2|12|26077
19,0.6271453121729537,0.6998746284583902,1.1776396156201143,0.03745590350706089,0.03745590350706089,1|2|3|4213.6
20,0.20732391513760917,0.29283399972240465,0.3550996938273295,0.20972255672269174,0.20972255672269174,100000.0|1|18|20186
21,0.6842363206966223,1.0493861055427842,0.7046700884343841,0.03745590350706089,0.03745590350706089,1|2|1|4097.1
22,0.41205684164773565,0.33929507513634,0.3847435430826318,0.034748126126931365,0.034748126126931365,100|3|18|19610
23,0.39591753925422635,0.4226159631429498,0.29068360931453796,0.00862325149496781,0.00862325149496781,10000|6|6|26972
24,0.34942356196909685,0.34798475697132847,0.3079553398239185,0.032104610277139026,0.032104610277139026,100000.0|1|9|18336
25,0.4244655002059733,0.6834248046219757,1.380014897414306,0.03745590350706089,0.03745590350706089,1|2|18|4229.9
26,0.4244655002059733,0.5716630128638559,0.5950493269058057,0.33571808393595776,0.33571808393595776,10|1|15|13048
27,0.5634787994921443,0.7583175681585334,0.41460165499626733,0.01088991071374018,0.01088991071374018,100|6|1|8636.8
28,0.34942356196909685,0.2657056390057088,0.34478276077319336,0.16013606375492745,0.16013606375492745,100000.0|2|9|29027
29,0.5385357776964109,0.6998746284583902,1.1776396156201143,0.03745590350706089,0.03745590350706089,1|2|6|4123.2
30,0.3814914377499685,0.33617008444139357,0.33260970941311174,0.019909420574173334,0.019909420574173334,100000.0|6|9|25620
31,0.295021137311022,0.2999909275698571,0.39232085715487236,0.034741899976849365,0.034741899976849365,10000|3|15|18857
32,0.23848441518679772,0.2855068883931433,0.3578092099622873,0.14258515817705492,0.14258515817705492,10000|1|15|19210
33,0.46026482888602227,0.650975200539677,0.5551043301238467,0.122885205667766,0.122885205667766,10|3|18|16158
34,0.4253484327637512,0.42296884824513187,0.3171920029215398,0.059567446740415274,0.059567446740415274,1000|1|6|22127
35,0.4244655002059733,0.666869166112392,1.4744087842935036,0.03745590350706089,0.03745590350706089,1|1|15|3983.3
36,0.27066009980127254,0.2999909275698571,0.3566105913993893,0.034741899976849365,0.034741899976849365,100000.0|3|18|17900
37,0.4234965918208856,0.44053091611828915,0.3282462319797511,0.032104610277139026,0.032104610277139026,10000|1|6|18745
38,0.34942356196909685,0.2657056390057088,0.2462157128257903,0.3293739974983768,0.3293739974983768,1000000.0|2|9|61403
39,0.2294779707931108,0.34601387772379566,0.2797173433927436,0.3492051172641649,0.3492051172641649,1000000.0|1|12|38675
40,0.34942356196909685,0.34798475697132847,0.2393467286870851,0.10991611279165497,0.10991611279165497,1000000.0|1|9|35978
41,0.6550480971695386,0.9266294656425794,0.7663357567301412,0.0,0.0,1000000.0|2|1|35943
42,0.2294779707931108,0.2597090895459253,0.2527671082094265,0.33361505979629225,0.33361505979629225,1000000.0|2|12|60713
43,0.5912823979814414,0.3979345809459233,0.39217379182904644,0.059587927649511936,0.059587927649511936,100|2|3|18789
44,0.2294779707931108,0.2597090895459253,0.3554237429039144,0.16013606375492745,0.16013606375492745,100000.0|2|12|29893
45,0.46670137521183486,0.31019029340596876,0.38730501816847973,0.16273320262911065,0.16273320262911065,100|2|9|24019
46,0.5148935783946244,0.4391861233188234,0.32971428238176664,0.03480451571802956,0.03480451571802956,1000|3|3|18655
47,0.38569755696948843,0.40638657370309683,0.2711439948798843,0.023378354253199278,0.023378354253199278,1000000.0|6|6|24009
48,0.6271453121729537,0.611193248759885,1.251507165823573,0.03745590350706089,0.03745590350706089,1|1|3|4098.6
49,0.5214255141499405,0.44256043921091126,0.33509397407206154,0.021375311932215712,0.021375311932215712,10000|3|3|18253
50,0.27066009980127254,0.2999909275698571,0.23455758322013912,0.34856714126600963,0.34856714126600963,1000000.0|3|18|20100
51,0.4603566094348937,0.6394839557961656,0.48116416627605424,0.1666166012106265,0.1666166012106265,10|3|12|15038
52,0.40997384084238586,0.43943263090340634,0.27243794779451713,0.10991611279165497,0.10991611279165497,1000000.0|1|6|32533
53,0.20732391513760917,0.29283399972240465,0.25677864326911726,0.3238539349112581,0.3238539349112581,1000000.0|1|18|46272
54,0.5434121564122945,0.8548923412362922,0.7480964047557771,0.03745590350706089,0.03745590350706089,1|3|1|4869.9
55,0.26801148601292113,0.34335136180637943,0.37249860229148396,0.04251674617986893,0.04251674617986893,1000|1|12|22722
56,0.40997384084238586,0.43943263090340634,0.3272642906278256,0.032104610277139026,0.032104610277139026,100000.0|1|6|18566
57,0.4234965918208856,0.3812711725287123,0.35325845807920864,0.027617640925664814,0.027617640925664814,10000|2|6|27670
58,0.5114670708413243,0.5605947939494367,0.5920285704645828,0.34234066206198305,0.34234066206198305,10|2|9|18656
59,0.6683267649444329,0.9427887114107066,0.3375300409428678,0.0,0.0,100|2|1|7677.3
60,0.3769050906477693,0.35709203782924814,0.40758746133148366,0.006589919231888432,0.006589919231888432,1000|3|9|20589
61,0.5189920058845895,0.41635447324765756,0.3390354873267453,0.032104610277139026,0.032104610277139026,100000.0|1|3|17260
62,0.566967472744366,0.8089975742956148,1.164183118909949,0.0,0.0,1|6|3|4850.4
63,0.4823944259309548,0.7867147482852338,1.2846023444474473,0.0,0.0,1|6|12|4638.4
64,0.37341183879216844,0.32762351331390166,0.37485924397615494,0.22512072374109876,0.22512072374109876,100|1|15|17886
