trt, performance_error, stability_agreement, best_performance, best_stability
10, 56.79, 0, 0, 0
20, 43.50, 0, 0, 2
50, 30.46, 24, 0, 4
100, 14.91, 48, 1, 49
200, 5.71, 81, 1, 100
