trt, performance_error, stability_agreement, best_performance, best_stability
10, 52.85, 0, 0, 0
20, 42.75, 0, 0, 2
50, 17.77, 45, 1, 0
100, 19.43, 84, 1, 21
200, 17.78, 91, 1, 78
