trt, performance_error, stability_agreement, best_performance, best_stability
10, 83.95, 0, 0, 5
20, 78.95, 0, 0, 1
50, 64.26, 0, 0, 64
100, 47.96, 0, 1, 65
200, 41.00, 0, 1, 98
