trt, performance_error, stability_agreement, best_performance, best_stability
10, 46.50, 0, 0, 0
20, 50.50, 0, 0, 0
50, 37.37, 3, 1, 0
100, 42.87, 10, 1, 2
200, 39.44, 65, 1, 64
