trt, performance_error, stability_agreement, best_performance, best_stability
10, 18.49, 0, 0, 35
20, 13.23, 0, 0, 19
50, 5.52, 37, 1, 36
100, 2.63, 36, 1, 31
200, 1.94, 43, 1, 85
