trt, performance_error, stability_agreement, best_performance, best_stability
10, 57.78, 0, 0, 0
20, 57.91, 0, 0, 0
50, 44.25, 0, 1, 6
100, 32.13, 0, 1, 22
200, 38.74, 0, 1, 93
