trt, performance_error, stability_agreement, best_performance, best_stability
10, 54.71, 0, 0, 2
20, 34.21, 0, 0, 3
50, 23.55, 0, 0, 19
100, 13.39, 0, 1, 23
200, 11.05, 0, 1, 53
