trt, performance_error, stability_agreement, best_performance, best_stability
10, 6.08, 0, 0, 0
20, 3.41, 32, 0, 0
50, 1.48, 74, 0, 0
100, 0.81, 98, 1, 4
200, 0.32, 100, 1, 96
