trt, performance_error, stability_agreement, best_performance, best_stability
10, 6.65, 0, 0, 11
20, 6.38, 6, 0, 16
50, 5.64, 43, 0, 30
100, 4.88, 29, 1, 34
200, 4.66, 61, 1, 93
