trt, performance_error, stability_agreement, best_performance, best_stability
10, 1.48, 22, 0, 4
20, 1.24, 56, 0, 56
50, 1.14, 68, 0, 56
100, 0.81, 80, 1, 59
200, 0.59, 100, 1, 100
