trt, performance_error, stability_agreement, best_performance, best_stability
10, 0.00, 62, 1, 58
20, 0.00, 62, 1, 54
50, 0.00, 62, 1, 94
100, 0.00, 62, 1, 91
200, 1.90, 61, 1, 91
