trt, performance_error, stability_agreement, best_performance, best_stability
10, 50.02, 0, 0, 0
20, 41.68, 0, 0, 0
50, 27.59, 1, 0, 4
100, 22.12, 0, 0, 7
200, 13.49, 2, 1, 89
