trt, performance_error, stability_agreement, best_performance, best_stability
10, 63.67, 0, 0, 0
20, 56.92, 0, 0, 1
50, 56.12, 0, 0, 1
100, 41.35, 0, 1, 2
200, 35.39, 0, 1, 96
