trt, performance_error, stability_agreement, best_performance, best_stability
10, 0.00, 45, 1, 60
20, 0.00, 70, 1, 84
50, 0.00, 70, 1, 84
100, 0.00, 70, 1, 82
200, 0.00, 39, 1, 93
