trt, performance_error, stability_agreement, best_performance, best_stability
10, 35.89, 0, 0, 0
20, 22.50, 1, 0, 0
50, 12.32, 36, 1, 15
100, 0.87, 61, 1, 43
200, 0.67, 80, 1, 100
