trt, performance_error, stability_agreement, best_performance, best_stability
10, 14.43, 0, 0, 0
20, 11.75, 0, 0, 1
50, 4.51, 68, 0, 0
100, 2.05, 80, 1, 23
200, 0.87, 80, 1, 76
