trt, performance_error, stability_agreement, best_performance, best_stability
10, 47.12, 0, 0, 0
20, 45.51, 0, 0, 1
50, 20.97, 0, 0, 14
100, 15.96, 0, 1, 22
200, 16.96, 0, 1, 63
