trt, performance_error, stability_agreement, best_performance, best_stability
10, 55.56, 0, 0, 0
20, 49.27, 0, 0, 15
50, 20.63, 0, 1, 24
100, 13.47, 2, 1, 27
200, 1.10, 15, 1, 88
