trt, performance_error, stability_agreement, best_performance, best_stability
10, 34.36, 0, 0, 2
20, 31.67, 0, 0, 6
50, 16.66, 0, 0, 36
100, 6.20, 2, 1, 64
200, 1.20, 7, 1, 73
