trt, performance_error, stability_agreement, best_performance, best_stability
10, 9.09, 14, 0, 0
20, 1.61, 63, 0, 0
50, 0.95, 75, 1, 11
100, 0.67, 100, 1, 32
200, 0.39, 100, 1, 59
