row_id,b0,b1,b2,b3,b4,raw_val
0,0.19858771139861084,0.2744805185424696,0.2438660346322685,0.2408138786411756,0.2202921417500822,0.2135075267845034|0.87541580864882|0.3333333333333332|50|squared_error|4|4.5|7
1,0.42200580292969775,0.45599234419996,0.42294080011448165,0.2846951390864806,0.13162011447609548,0.204240314633154|0.8514177094883574|0.6666666666666665|90|poisson|12|7.25|8
2,0.11840954380640963,0.09349533756436777,0.04603369395514855,0.03641549146701962,0.022897907563154764,0.6659735093350211|0.7333280532235071|0.3333333333333332|170|squared_error|2|2.0|6
3,0.40025481619407327,0.43945295786043487,0.40334492406998323,0.29463997931159097,0.13153148998295475,0.1683920256769585|0.8534769523206083|0.6666666666666665|20|poisson|11|6.0|5
4,0.4030236603661374,0.45108660523113714,0.41354151808334616,0.2942686568865396,0.12944637062469888,0.1975950454319425|0.8518137177253288|0.6666666666666665|190|poisson|17|7.25|19
5,0.22180526723886484,0.17777856133197986,0.13064561865819083,0.08232227941798984,0.041093352512699764,0.4664798155598753|0.7882147948677333|0.3333333333333332|120|absolute_error|2|2.25|16
6,0.5147934918283159,0.5407426617551628,0.48700888663423086,0.340027851007728,0.140214152907859,0.1539261335382668|0.873039759226992|0.6666666666666665|70|absolute_error|7|7.5|18
7,0.5579903117332714,0.5950173126718113,0.5146905351098332,0.3575450427212322,0.1493974418548053,0.158446724831608|0.8808807223190243|0.6666666666666665|200|absolute_error|6|6.0|6
8,0.4005698205166481,0.4532656436666906,0.4276363379352064,0.2907768499914831,0.13550591432171857,0.2122417612223678|0.8510217012513861|0.6666666666666665|80|poisson|17|6.75|13
9,0.3705823577002683,0.4416256526684574,0.416971264232313,0.3015376399154572,0.13023963441712366,0.2285610957913295|0.8501504831300492|0.6666666666666665|30|poisson|15|4.0|3
10,0.4792902337392058,0.552799996352285,0.5302642506556151,0.3505451075637075,0.15458460398069265,0.1519822792821301|0.8545065737367338|0.6666666666666665|70|absolute_error|20|6.5|15
