row_id,b0,b1,b2,b3,b4,raw_val
0,0.10928947995493304,0.11550263301810651,0.09977882326288909,0.059884338384337696,0.05110568421257142,77870|0|1|93|1017|50|500|65|50|133|3|5|5|5|8|0|1|0|1|0|0|3|11|1|53|2835|0|1|0|0|0|0|0|1|0|0|1682|1549|2
1,0.04127496099356134,0.027622711564572414,0.033391285837599025,0.028660718128440354,0.026368440698649794,30899|1|0|35|24|0|8|0|0|1|2|1|0|3|6|0|0|0|0|0|0|3|11|0|46|2783|0|0|1|0|0|0|0|0|0|1|32|31|0
2,0.11856799561744262,0.08026717245645251,0.10237289961007558,0.07270803127405169,0.07407385235509158,87188|0|0|73|910|111|724|49|74|55|1|10|2|6|3|0|0|0|0|0|0|3|11|1|37|2550|0|0|1|0|0|0|0|0|0|1|1868|1813|0
3,0.14295941034047488,0.09568265302193674,0.08578106564546074,0.07994931733674884,0.03516167891018974,48432|0|1|3|322|3|50|4|3|42|5|7|1|6|8|0|0|0|0|0|0|3|11|1|47|2778|0|0|1|0|0|0|0|0|0|1|382|340|0
4,0.052309540115895115,0.08705217767406839,0.02728980122995714,0.03052009534529259,0.024491864205214244,45894|0|2|15|27|2|7|0|2|13|1|1|0|3|5|0|0|0|0|0|0|3|11|0|46|2281|0|1|0|0|0|1|0|0|0|0|38|25|0
5,0.05314815333310674,0.042420374362483165,0.04608545124112805,0.0444743486327218,0.030839759520929454,7500|1|1|5|6|5|4|13|4|25|4|2|1|3|6|0|0|0|0|0|0|3|11|0|42|2708|0|0|1|0|0|0|0|1|0|0|32|7|0
6,0.09022597168475933,0.09538922229090217,0.0783638914174074,0.08984147959327757,0.08077004802826461,69932|0|1|97|412|172|153|150|105|57|2|7|6|11|4|0|0|0|0|0|0|3|11|0|56|2541|1|0|0|0|0|0|0|1|0|0|992|935|0
7,0.11410942044437285,0.08846991168890152,0.10540530354521259,0.10258696101409076,0.07804086502260348,67369|0|1|81|1298|0|70|37|14|42|4|7|4|10|4|0|1|1|0|0|0|3|11|1|51|2748|0|0|0|0|1|0|0|0|1|0|1419|1377|2
8,0.05867041786020824,0.06592466727762804,0.05480251095192188,0.052803504283954854,0.03622573612777908,36301|1|0|53|11|12|35|3|5|12|1|3|0|3|7|0|0|0|0|0|0|3|11|0|44|2406|0|0|0|1|0|1|0|0|0|0|66|54|0
9,0.11592680507442822,0.08261828392696954,0.05452791677505682,0.06159167572047323,0.024514512938991442,53312|0|0|32|241|0|12|0|0|25|1|5|1|5|7|0|0|0|0|0|0|3|11|0|69|2483|0|1|0|0|0|0|0|0|0|1|253|228|0
10,0.03729797776826426,0.025475706110301137,0.035487705046272314,0.03337687965692435,0.03165862752304274,24027|1|0|7|14|7|11|11|0|5|2|2|0|3|8|0|0|0|0|0|0|3|11|0|44|2544|0|1|0|0|0|0|0|1|0|0|43|38|0
11,0.12076082452599028,0.11807689810448635,0.11605146432861733,0.1029908569586479,0.06821033869166998,89694|1|1|22|1126|28|211|37|28|42|3|4|3|4|5|0|1|1|1|0|0|3|11|0|47|2422|1|0|0|0|0|0|0|1|0|0|1430|1388|3
12,0.1393528684471541,0.13435139753819864,0.09356467523900402,0.0859181316037843,0.04014620893784225,66334|0|1|82|909|11|218|0|0|23|2|9|3|5|5|0|0|0|0|0|0|3|11|1|64|2611|0|1|0|0|0|0|0|0|0|1|1138|1115|0
13,0.041377908766553256,0.06402945125722151,0.05899832522388127,0.03715921017667082,0.031343339723821056,33462|1|0|78|22|3|18|0|0|11|1|2|0|3|7|0|0|0|0|0|0|3|11|0|41|2485|1|0|0|0|0|0|0|0|1|0|43|32|0
