row_id,b0,b1,b2,b3,b4,raw_val
0,0.06285920148667423,0.05527489452658217,0.04654262362626752,0.03644949821910601,0.030165534185735962,1|1|1|1|1|0|0|1|0|0|1|0|1|0|0|1|84096.4|25.93683
1,0.12250168599881155,0.05684806966388067,0.06909213602384157,0.05442183390218733,0.054966832913518504,1|1|0|0|0|1|0|0|0|1|1|0|1|1|1|0|66656.8|25.784251
2,0.05582320508184093,0.03686099329989263,0.0316086881620471,0.032193645470792065,0.030300750131544756,0|1|1|0|1|1|1|0|1|1|1|0|0|0|0|1|82225.6|26.108781
3,0.08630199455394837,0.1022689996333501,0.0944212711032913,0.06098242641739368,0.051283843342425965,1|0|0|0|1|1|1|1|0|1|1|0|1|0|1|0|73505.6|25.960292
4,0.08541131508985142,0.059218528150419676,0.0704809581592187,0.05704098832248374,0.056508240005484205,1|1|1|1|1|1|0|0|1|0|1|0|0|0|1|0|79872.8|26.38325
5,0.19294021465160377,0.11231376940282792,0.1295439460519215,0.11007455524595368,0.11256894370810237,1|1|0|0|1|0|0|1|0|0|0|0|0|0|0|0|55959.2|26.587857
6,0.09150480855839178,0.09336923171675765,0.07968144813834954,0.0838087720795888,0.0963000327181775,0|1|0|0|1|0|0|0|1|1|0|1|1|1|0|1|69053|26.002609
7,0.1616407312895019,0.10870314067410994,0.07799715562630913,0.04070110190740684,0.02612314731843844,0|0|1|0|1|0|1|1|1|0|0|0|0|1|0|0|70370.8|25.713428
8,0.11550797494424254,0.10754594814594144,0.03959218427340231,0.05568053624966045,0.040342554296884846,1|0|1|0|0|1|0|1|0|0|1|0|1|1|1|0|70153|26.471714
9,0.07055922857884185,0.050909846718867946,0.025302981118415134,0.029782645699233036,0.025307056115253742,0|0|0|1|0|0|1|1|0|0|1|1|1|1|0|0|79755.8|25.812592
10,0.07581772848084184,0.057160381550291205,0.03703754080551658,0.03452246719471755,0.03578101156952907,1|1|0|1|0|1|1|1|0|0|0|1|0|0|1|1|82708.8|25.940955
11,0.07087029047067651,0.07210041190947082,0.0726498138767097,0.04808082320300081,0.0613658160127885,1|0|1|0|0|0|0|1|0|1|1|0|0|0|0|0|68989.6|26.458551
