row_id,b0,b1,b2,b3,b4,raw_val
61,0.0,0.0,0.0,0.0,0.0,1.0|0.0|200|poisson|19|7.75|5
62,0.0,0.0,0.0,0.0,0.0,0.0|1.0|70|squared_error|1|1.25|13
63,0.0,0.0,0.0,0.0,0.0,0.0|1.0|180|absolute_error|8|1.5|13
64,0.0,0.0,0.0,0.0,0.0,0.0|1.0|30|absolute_error|9|3.75|10
65,0.0,0.0,0.0,0.0,0.0,0.0|1.0|130|absolute_error|8|2.25|9
66,0.0,0.0,0.0,0.0,0.0,0.0|1.0|10|squared_error|5|1.75|4
67,0.0,0.0,0.0,0.0,0.0,0.0|1.0|200|squared_error|14|8.25|9
68,0.0,0.0,0.0,0.0,0.0,0.0|1.0|120|squared_error|15|5.0|17
69,0.0,0.0,0.0,0.0,0.0,1.0|0.0|150|poisson|19|1.0|9
70,0.0,0.0,0.0,0.0,0.0,0.0|1.0|200|squared_error|5|5.25|9
71,0.0,0.0,0.0,0.0,0.0,1.0|0.0|120|poisson|1|10.0|4
72,0.0,0.0,0.0,0.0,0.0,1.0|0.0|160|poisson|11|7.75|17
73,0.0,0.0,0.0,0.0,0.0,0.0|1.0|170|squared_error|12|1.75|11
74,0.0,0.0,0.0,0.0,0.0,1.0|0.0|190|poisson|1|6.25|16
75,0.0,0.0,0.0,0.0,0.0,0.0|1.0|40|absolute_error|3|5.25|14
76,0.0,0.0,0.0,0.0,0.0,1.0|0.0|190|poisson|3|0.75|17
77,0.0,0.0,0.0,0.0,0.0,1.0|0.0|40|poisson|19|3.0|4
78,0.0,0.0,0.0,0.0,0.0,0.0|1.0|40|squared_error|11|4.0|9
79,0.0,0.0,0.0,0.0,0.0,1.0|0.0|120|poisson|8|3.0|5
80,0.0,0.0,0.0,0.0,0.0,1.0|0.0|40|poisson|18|0.5|1
81,0.0,0.0,0.0,0.0,0.0,0.0|1.0|10|absolute_error|8|9.75|15
82,0.0,0.0,0.0,0.0,0.0,0.0|1.0|20|absolute_error|16|10.0|2
83,0.0,0.0,0.0,0.0,0.0,0.0|1.0|190|squared_error|2|1.5|1
84,0.0,0.0,0.0,0.0,0.0,0.0|1.0|50|squared_error|1|6.25|14
85,0.0,0.0,0.0,0.0,0.0,0.0|1.0|200|squared_error|7|0.25|10
86,0.0,0.0,0.0,0.0,0.0,0.0|1.0|200|squared_error|8|10.0|17
87,0.0,0.0,0.0,0.0,0.0,0.0|1.0|200|squared_error|20|5.75|13
88,0.0,0.0,0.0,0.0,0.0,1.0|0.0|200|poisson|10|1.0|15
89,0.0,0.0,0.0,0.0,0.0,1.0|0.0|120|poisson|8|0.75|3
90,0.0,0.0,0.0,0.0,0.0,0.0|1.0|40|squared_error|17|6.75|9
91,0.0,0.0,0.0,0.0,0.0,0.0|1.0|30|squared_error|20|9.75|7
92,0.0,0.0,0.0,0.0,0.0,0.0|1.0|110|absolute_error|2|4.75|2
93,0.0,0.0,0.0,0.0,0.0,0.0|1.0|90|squared_error|8|1.25|6
94,0.0,0.0,0.0,0.0,0.0,0.0|1.0|50|squared_error|2|8.75|7
95,0.0,0.0,0.0,0.0,0.0,0.0|1.0|170|squared_error|8|6.0|12
96,0.0,0.0,0.0,0.0,0.0,1.0|0.0|170|poisson|12|6.25|10
97,0.0,0.0,0.0,0.0,0.0,1.0|0.0|150|poisson|1|2.75|5
98,0.0,0.0,0.0,0.0,0.0,0.0|1.0|170|absolute_error|7|3.5|13
99,0.0,0.0,0.0,0.0,0.0,0.0|1.0|110|absolute_error|6|2.75|14
