row_id,b0,b1,b2,b3,b4,raw_val
0,0.02399594006879966,0.01654336004286912,0.008960283437343725,0.0114066160489622,0.009823793644323337,1|0|1|0|1|1|0|0|0|0|1|0|1|1|10|1.024|332364.4|43.183309
1,0.0226529754046381,0.01268766621432813,0.015393977489476612,0.010332117427040927,0.01100786687591571,1|0|1|0|1|1|1|1|0|0|1|1|0|0|10|2.048|327795.6|43.032177
2,0.03704195908273061,0.026198923328708323,0.02716207160519503,0.021532626892422753,0.003970456487867706,1|0|0|0|0|0|0|0|0|1|1|1|0|0|1|0.512|224936|38.407926
3,0.02477187262471035,0.006733201806901109,0.00431216610513986,0.0012378144295887889,0.0007835491019353223,0|1|0|0|0|1|1|0|1|0|1|1|0|0|1|4.096|289092.4|31.641636
4,0.031608722403549915,0.023687067946303757,0.016692235462450387,0.012809084573591914,0.008058957575770907,1|0|0|0|0|0|0|0|0|1|1|1|0|0|1|1.024|227295.2|39.289265
5,0.01816919687508712,0.01342332263130737,0.01717523718595415,0.011788706531393606,0.00888263003469919,1|0|1|0|1|1|0|0|0|1|1|1|0|0|10|1.024|332091.8|43.336489
6,0.016602980259927406,0.011685408495465581,0.01573497415522968,0.010014552745447713,0.008565705457253412,1|0|1|0|1|1|1|0|1|1|1|0|1|0|10|2.048|334455|43.526961
7,0.01546822689914205,0.01465811562031344,0.011483699971594695,0.007472937788370342,0.007791295507303536,1|0|1|0|1|1|1|0|1|1|1|0|1|0|1|0.256|334876|48.455547
8,0.03218377887543352,0.019158966459517326,0.015257574630596495,0.021937824784540223,0.00936535450077863,1|0|1|1|0|0|0|0|0|1|0|0|0|1|1|1.024|255690.8|41.515623
9,0.0915588186184476,0.04965988187673996,0.06255318038660175,0.05461671541687062,0.024716501329448515,1|0|0|0|0|0|0|0|0|1|1|1|0|0|500|1.024|226822.4|32.443024
10,0.0330349166300253,0.022709420790642313,0.024492262777917446,0.01949008689631489,0.02175913062929766,1|0|1|0|1|0|0|0|0|0|1|1|0|1|500|2.048|257608.4|34.239274
11,0.08930069502382497,0.07807563125080763,0.03504061194618152,0.05063059236010917,0.024247912000427817,1|0|0|0|0|0|0|0|0|0|1|0|1|1|500|2.048|231686.4|31.941016
12,0.02367646846257289,0.01379229808729888,0.010358906885038485,0.008262874670082474,0.005379869553900367,1|0|1|1|0|1|1|1|0|0|1|0|1|1|200|4.096|329682|36.562746
13,0.020163123815329517,0.017372045158288812,0.0164861959510568,0.01603782767391219,0.014528087780164473,1|0|1|1|0|1|1|0|1|0|1|1|0|1|100|0.512|322497.6|36.732568
