row_id,b0,b1,b2,b3,b4,raw_val
0,0.197016739454888,0.1099375836776343,0.10697523854527217,0.11341752222115573,0.020459770246337158,1|0|0|1|0|1|0|0|1|1|232.4933333
1,0.2552197580919441,0.1062427265790941,0.05340793695669281,0.050391825822392294,0.048965220974145296,0|1|0|0|0|0|0|1|0|0|218.8166667
2,0.13245958000469318,0.0883293449669812,0.06581196923449185,0.020786273291872676,0.013694710227554032,0|0|1|0|1|1|0|1|0|1|261.0766667
3,0.12041263141665054,0.04760888516267609,0.03270014445926427,0.0341444527355558,0.030053148333264574,1|1|0|1|1|0|1|0|1|1|248.9033333
4,0.22028925453539955,0.08193879345063253,0.06180699506111879,0.05824521409274574,0.0576357170107804,0|1|1|1|1|0|1|0|0|0|229.2966667
5,1.3231213247653306,0.40034072333498244,0.6591074373441135,0.7481333164973555,0.0034931167565224416,0|0|0|1|0|0|0|0|1|0|199.6833333
6,0.2981489630052776,0.0866172370199143,0.08595324130333128,0.08462050785368547,0.04423610731826634,0|1|0|1|1|0|0|0|0|1|235.91
7,0.13149017189812165,0.10016894915108285,0.08386065259584904,0.05974751974649486,0.03355676115394501,1|0|0|0|0|0|1|0|0|0|227.8533333
8,0.13424079622263071,0.04029611195666138,0.05060036332351497,0.03883127956093643,0.008871772437487694,1|0|0|1|0|1|1|1|1|0|228.7166667
9,0.7435221128008693,0.44398085479382043,0.34936756940621067,0.28812010849851905,0.04623704305542587,0|0|0|0|0|1|1|0|1|0|201.8966667
10,0.18585530773322342,0.051297259749427566,0.045847153547283845,0.03663808671854519,0.025013287999662518,1|0|0|0|1|1|0|1|0|0|224.3366667
11,0.39614420142359363,0.23761784875992312,0.2155044760540933,0.19396269874693695,0.08701842612302599,0|0|0|0|1|1|1|0|0|1|215.4833333
12,0.10937069766582051,0.06273442284158295,0.06529895976405813,0.03158841072756208,0.03333152034699677,0|1|1|0|0|0|0|0|0|1|256.2466667
13,0.12334834131481413,0.09687103804069495,0.06915203869859401,0.032633393380542434,0.03168439606678769,0|1|1|0|0|1|1|1|0|1|250.12
14,0.15846502265676837,0.09478598595311329,0.0716170433741509,0.04114208441464713,0.01820748173071275,1|0|1|0|1|0|0|1|0|1|250.26
