row_id,b0,b1,b2,b3,b4,raw_val
0,0.11966241737271523,0.04609096370765697,0.03132984563566989,0.061583273072107224,0.017478797189299428,0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|10|2.96
1,0.08127013895275959,0.09963472855496908,0.0811593670475311,0.06274843205161583,0.03062596278830171,0|0|1|0|0|0|0|0|0|0|1|1|1|0|0|0|1|90|2.44
2,0.25444980283775126,0.046687880365620854,0.030838497673726626,0.02417333466310092,0.020860958918819172,0|0|0|1|0|1|0|0|0|1|0|0|1|0|0|0|0|10|4.34
3,0.09921627122037979,0.09601612105937912,0.0610605610222095,0.06197648577098021,0.02748458963725718,0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|90|2.14
4,0.2478560593164483,0.027733785282598268,0.0192314937306379,0.011430546627771257,0.006069227369797933,0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|10|6.22
5,0.09658035140461702,0.07223413942609085,0.06955414594757921,0.06272356171738386,0.02904004821592832,0|0|0|0|0|0|1|0|1|1|1|0|0|0|0|0|0|90|2.37
6,0.12236484825029599,0.12130740111650269,0.11305034539850593,0.06514101268764479,0.035410612470564214,1|0|0|0|1|0|1|0|0|0|0|1|1|0|1|0|1|90|2.22
7,0.059400056760336564,0.02024163172774044,0.011819088128867178,0.006492225872047,0.003960032237060738,0|0|0|0|0|0|1|1|0|0|0|1|1|0|1|1|0|10|2.44
8,0.0769886518425595,0.055524624918491826,0.042883225365441376,0.030385354628087037,0.027733164761099688,0|0|0|1|0|1|0|0|1|0|0|1|0|0|0|0|1|90|3.06
9,0.184967055128971,0.03773425502993859,0.021436633225795497,0.020957306554795645,0.01838172454116043,0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1|10|6.26
10,0.15285502926789435,0.04609096370765697,0.03132984563566989,0.06401955912231125,0.018605382823913275,0|1|0|0|0|0|1|0|0|0|1|0|0|0|0|0|1|10|2.99
11,0.17540586113539122,0.04766924931305957,0.036306450868689985,0.030052280227242677,0.030747356526601675,0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|10|3.76
12,0.08844688005217034,0.11488722611225301,0.07729699806621387,0.06137431331919211,0.05323611806536812,1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|90|2.2
