row_id,b0,b1,b2,b3,b4,raw_val
0,0.48517274499142954,0.34432550408121393,0.01239959851282462,0.0013142464005126001,0.0007713961961207222,0|0|0|0|1|0|1|0|1|1|0|0|0|0|0|1|0|6.649|248.6|2.108306
1,0.4524462161702937,0.1539844573721753,0.0525520599939144,0.009735455456156476,0.003812912296437612,1|1|1|0|1|0|1|0|1|1|0|0|0|0|0|0|1|6.7792|251.4|2.299461
2,0.7730362458144622,0.15799308057931855,0.0074798579268435,0.0007439155773434216,0.0004056934924143213,0|1|1|0|1|1|0|0|1|1|0|0|0|1|0|0|0|6.6332|249.4|2.124789
3,0.2711404598422339,0.03777486761231691,0.0497955565810698,0.016757588183235105,0.005424071145768216,0|0|0|0|1|0|1|0|1|0|1|0|1|1|1|1|1|7.3468|263.4|3.95658
4,0.39058959492214873,0.046534506297616504,0.016958800257247556,0.01005337664658055,0.009041109141623363,1|1|0|1|1|0|0|1|1|0|1|0|1|0|0|1|0|14.1134|480.6|13.08032
5,0.3180742451116943,0.17371449336450862,0.11903804569861247,0.059137675956021506,0.05383315898582302,0|1|1|0|1|1|0|0|1|0|1|1|0|1|1|0|0|7.286|262|4.070638
6,0.4612494874756127,0.1751115653136058,0.13642485605302743,0.06610736059018,0.0036563120099759555,1|1|1|0|1|1|0|0|1|1|0|0|0|0|0|0|0|6.721|249.8|2.167333
7,0.31030839825995327,0.151475387740675,0.10244665009108692,0.05605154874228453,0.03701857249149552,1|1|1|0|1|0|0|1|1|0|1|0|0|1|1|0|0|7.1338|262.8|4.082107
8,0.33700563213349344,0.12155080428669537,0.07832684803450696,0.05828549457580184,0.12470475568732489,0|0|0|0|1|0|0|1|1|0|1|0|1|0|0|0|0|7.3384|262|3.973856
9,0.4321091361901784,0.05742842013038504,0.010708563311292482,0.0016475201694472418,0.0012356208696323809,1|1|0|1|1|0|0|1|1|1|0|0|0|1|1|1|1|8.7678|323|7.253472
10,0.3990002540182111,0.12172318340116678,0.010437402146053987,0.0010752395884961819,0.0006245938623089725,0|1|0|1|1|0|0|1|1|1|0|0|0|0|0|1|0|8.7934|321|7.135581
11,0.37753840303502956,0.021689450202311607,0.0144459815960406,0.011883281752325526,0.008973249750051144,0|1|0|1|1|1|0|0|1|0|1|0|1|0|0|0|0|16.3352|509.6|13.970749
12,0.6870237014022107,0.5182303581736869,0.033406064368154506,0.0038403496740213173,0.002368231026961691,1|0|0|0|1|1|0|0|1|1|0|0|0|0|0|1|0|6.9328|249.8|2.208992
13,0.37807171059665773,0.038659981426689784,0.025450146108996135,0.0149059621245867,0.013907846542814193,1|0|0|0|1|1|0|0|1|0|1|0|0|1|1|1|1|7.1042|263.8|4.029142
14,0.2350406690608575,0.07106250788669065,0.07808560977601116,0.035419837925191225,0.03028015651622995,0|1|1|0|1|0|1|0|1|0|1|1|0|1|0|1|0|7.1468|263.4|4.04265
15,0.8018548296702849,0.2793474794887299,0.01239959851282462,0.0013142464005126001,0.0007713961961207222,0|1|1|0|1|0|1|0|1|1|0|0|0|0|0|0|0|6.6902|250.2|2.105181
16,0.3272522559391411,0.0796738717659689,0.10542726819997693,0.06715506963158785,0.045058463834130626,1|1|1|0|1|1|0|0|1|0|1|1|0|1|0|1|1|7.1614|264.6|4.247638
17,0.7444211969090863,0.43334360944567557,0.033406064368154506,0.0038403496740213173,0.002368231026961691,1|0|0|0|1|0|1|0|1|1|0|0|0|0|0|1|0|7.3944|249.6|2.124243
18,0.3505953018204966,0.07189175758273485,0.044329200815339725,0.03544356782196721,0.008559013488907941,0|0|0|0|1|0|0|1|1|0|1|1|0|0|0|1|1|7.147|264.8|4.095477
19,0.35337768414946086,0.02950787893580112,0.016844645724858488,0.010969931097644806,0.008154016464231438,0|1|0|1|1|0|1|0|1|0|1|0|1|1|1|1|0|14.5908|509.6|13.969125
20,0.3360641946779782,0.11321619717316392,0.11439715802736905,0.08553547103763456,0.04328168930168603,1|1|1|0|1|1|0|0|1|0|1|1|0|1|0|0|1|8.0308|264.8|4.224773
21,0.25427682367980303,0.07724884552184863,0.05088404758028285,0.018422044563397796,0.021700103646887303,1|0|0|0|1|0|1|0|1|0|1|1|0|0|0|1|1|7.1564|264.4|4.08938
22,0.4836868772185309,0.32769634861590846,0.0969302362526046,0.003122371124863461,0.0019087908498382183,1|0|0|0|1|1|0|0|1|1|0|0|0|1|0|0|0|7.428|249.2|2.193952
23,0.4107490473861954,0.0408418588916885,0.017273726487976915,0.010240016496138005,0.004634170966979624,0|1|0|1|1|0|0|1|1|0|1|0|1|0|0|1|1|14.0616|478.2|13.21464
24,0.3398760621274318,0.04270040244585094,0.023545222515910357,0.013254258369911438,0.0072533659213190205,0|1|0|1|1|0|0|1|1|0|1|0|0|1|1|0|0|13.5836|478.4|13.144467
25,0.3051726384758374,0.14235710170716384,0.11480482479351474,0.06326423205743159,0.050593302030882185,1|1|1|0|1|0|0|1|1|0|1|1|0|1|1|0|0|7.3558|262.2|4.057538
26,0.31516492513648114,0.02169865145727392,0.014317097772241338,0.012266720174732713,0.011299415099447764,1|1|0|1|1|1|0|0|1|0|1|0|1|1|1|0|0|15.7234|512.4|13.919469
27,0.4515085019282142,0.35551446627206473,0.10044747479991456,0.003122371124863461,0.0019087908498382183,1|0|0|0|1|1|0|0|1|1|0|0|0|1|1|0|1|7.534|251|2.406912
