row_id,b0,b1,b2,b3,b4,raw_val
0,0.026834200012405766,0.009191389075043417,0.011061251390459341,0.007067697731906535,0.00672180829130991,0.8095785440613027|0.0418250950570342|0.4999999999999999|10|poisson|6|10.0|11
1,0.09940017010577026,0.06548149386422324,0.06064958043993956,0.06828427197989331,0.07243846678160744,0.7915708812260538|0.1514575411913815|0.4999999999999999|160|absolute_error|7|2.25|8
2,0.0226508008879764,0.005486337701199693,0.0011974391151821453,0.0003251266474866866,0.0,0.8666666666666668|0.0703422053231939|0.4999999999999999|180|poisson|3|0.75|10
3,0.08796464084062794,0.06901205038677855,0.06251160425301304,0.07794840631043362,0.07523418714673233,0.3785440613026821|0.1894803548795944|0.0|60|absolute_error|4|7.25|4
4,0.08342744972167228,0.06051481944271256,0.06237127823677329,0.05779561961331151,0.043436845518495165,0.6398467432950192|0.1660329531051964|0.4999999999999999|110|absolute_error|4|9.0|3
5,0.09361167181672836,0.0672629388108088,0.0426178087386698,0.03336275123615188,0.05143213932488967,0.8279693486590037|0.1476552598225602|0.4999999999999999|130|absolute_error|14|2.25|19
6,0.02607815635898709,0.0033610905594867696,0.0035326379128821934,0.0028090564111221653,0.0025867875629052247,0.8839080459770114|0.0785804816223067|0.4999999999999999|130|squared_error|10|9.5|6
7,0.09039703000207644,0.08365737433077301,0.08565664388107966,0.07517198190382808,0.05716747396828662,0.7298850574712645|0.0|0.4999999999999999|10|absolute_error|4|3.75|17
8,0.02489521926559379,0.006401941527261166,0.004778888484735641,0.0050373621069128675,0.0027782524586401503,0.9160919540229886|0.0937896070975918|0.4999999999999999|20|poisson|4|7.75|6
9,0.08255570798299927,0.04879679915172882,0.04625733208053352,0.058281449182990344,0.04901827240276162,0.713793103448276|0.1590621039290241|0.4999999999999999|160|absolute_error|19|7.0|3
10,0.025625802821990507,0.0022282306027194463,0.0019463781147844997,0.0012410221684219557,0.0013209080653359745,0.8777777777777779|0.0760456273764258|0.4999999999999999|190|poisson|13|6.5|17
11,0.026729004472128177,0.0022669530705686568,0.003092267448337206,0.0018644003345302102,0.002972595473684838,0.8758620689655172|0.0747782002534854|0.4999999999999999|130|squared_error|7|4.0|17
12,0.09057991941571511,0.05519095805474837,0.056064687064545767,0.03317756193531808,0.03477438835082379,0.4157088122605364|0.1863117870722433|0.0|180|absolute_error|16|6.25|11
13,0.08985310793781148,0.05166710961794806,0.04664316949460985,0.049877742359418456,0.05642819557884022,0.4551724137931035|0.1831432192648922|0.0|50|absolute_error|1|3.75|20
14,0.027039980435989094,0.0026868804343793376,0.0025008121687854113,0.002133567449747151,0.0017819997892470163,0.8662835249042145|0.0703422053231939|0.4999999999999999|160|squared_error|20|4.0|17
15,0.027238726145470397,0.002001029835930023,0.0034586856287165627,0.0026132645551148093,0.0026410783613223963,0.8743295019157088|0.0741444866920152|0.4999999999999999|190|poisson|7|3.0|19
16,0.026663809810538144,0.006315422217469291,0.005479434728197977,0.003461736953040069,0.0020344255978114968,0.8858237547892721|0.0798479087452471|0.4999999999999999|20|squared_error|13|3.25|5
