row_id,b0,b1,b2,b3,b4,raw_val
0,0.21718734287822866,0.04861727876580824,0.014614898526211676,0.002916291246837583,0.002078150475698863,5|0|1|5|6.849711592|5.068119779
1,0.09706894965622759,0.06864785290434208,0.01169360717133335,0.005984425436971306,0.0021129392260246225,5|1|3|20|8.059182199|5.107607992
2,0.09189155805394982,0.04705722848838175,0.04277700527443351,0.0065987669720207484,0.0006891208292825421,5|1|3|100|9.766851864|5.117965171
3,0.20655664617136626,0.056851893344496904,0.009556974566415617,0.006050633505382016,0.0028308818944846655,3|0|1|10|7.807606084|5.029864975
4,0.390639137669807,0.17044671887513577,0.11332112404015744,0.02836628229880745,0.020566200473628945,3|0|1|1|7.28555018|4.401360964
5,0.14585111096222989,0.05462387140129207,0.049139574811454374,0.007741752743995024,0.0009488888050670092,3|0|2|100|9.858304322|5.066162087
6,0.42563457658824433,0.06911437394563281,0.04103224810729041,0.015208312464198027,0.001961106668584201,6|1|2|2|6.867241668|4.983829961
7,0.38207235663897426,0.16369866554328746,0.11332112404015744,0.02836628229880745,0.020566200473628945,3|0|3|1|7.285531686|4.401580549
8,0.1462894271458907,0.07007413370073198,0.016303168008266537,0.011095430390590492,0.0027170636385571247,5|0|1|20|7.834932386|5.110228707
9,0.09189155805394982,0.04705722848838175,0.04061055133833493,0.0065987669720207484,0.0006891208292825421,6|1|3|100|9.740247934|5.121424796
10,0.21031515935167355,0.050121096429394114,0.011213877746945966,0.008735163805169477,0.0019367472123177215,7|0|1|10|7.113783832|5.104157682
11,0.08038305675318567,0.04218859274644467,0.023477018016827524,0.0067357855026909585,0.0017620972124455338,7|1|1|50|8.880039571|5.119684617
12,0.21718734287822866,0.03349368613709879,0.015249907857563612,0.004899278582053324,0.004435377133896057,6|0|1|5|6.722670938|5.079876372
13,0.18999011362510435,0.05661310354374482,0.012095337907728619,0.008215046773827199,0.002257535881038095,4|1|1|10|7.782782034|5.080145742
14,0.18999011362510435,0.05688321942627655,0.013730770765897855,0.010568798885745023,0.002257535881038095,3|1|1|10|8.211464912|5.019398421
15,0.21718734287822866,0.034270459900103294,0.015249907857563612,0.004899278582053324,0.004435377133896057,7|0|1|5|6.656067274|5.083255384
16,0.3986104148446583,0.21867571637137917,0.07191539209214791,0.03361671434728998,0.015966195522152477,7|1|2|1|6.673217192|4.878750454
17,0.4311483027194257,0.10511053311615577,0.1419506155352288,0.01765562507431868,0.0192974613340915,3|1|3|2|7.881933754|4.679288806
18,0.09574890750786337,0.06461957722788471,0.011736193752285018,0.005909492546911357,0.0021129392260246225,5|1|2|20|8.059182199|5.107607992
19,0.2036314011309804,0.04145252164830685,0.01829724947237522,0.00845582821449442,0.0019367472123177215,5|0|4|10|7.256642729|5.099033291
20,0.1384118192218923,0.04415564234145154,0.026227160589863616,0.010355091019683049,0.002998108801102255,6|0|3|50|8.797687462|5.118824889
21,0.39696356896831614,0.12688113023098382,0.035135938951247524,0.009447793518620387,0.001977535903639611,5|0|3|2|6.536861081|4.97692226
22,0.2087991370146149,0.06343232291638504,0.031339779254589334,0.006955424694116092,0.002651948328945077,3|0|4|5|7.540786742|4.946186618
23,0.38857241694624267,0.06911437394563281,0.04103224810729041,0.010374030386927366,0.001961106668584201,6|0|2|2|6.376724488|5.00769312
24,0.09677575669422828,0.04705722848838175,0.03745212041311574,0.0065987669720207484,0.0006891208292825421,5|1|4|100|9.766851864|5.117965171
25,0.207206896979386,0.041583556548360205,0.01829724947237522,0.008754546682470473,0.0019367472123177215,5|0|3|10|7.256642729|5.09903161
26,0.20320514068493822,0.04176748698139283,0.017703029293872827,0.00830165693755979,0.0028308818944846655,4|0|3|10|7.429866991|5.085429403
27,0.2087991370146149,0.04867579356411988,0.014697430233825411,0.0030048064888393558,0.002078150475698863,5|0|4|5|6.849711592|5.068121424
28,0.20397050341486042,0.027296742998726937,0.012593388809542286,0.003927307896764946,0.0021368066863818695,7|1|1|5|7.04617453|5.073143505
29,0.08936043669008038,0.047537153959419265,0.04277700527443351,0.0070313976600100605,0.0007671196258526672,5|1|2|100|9.766851864|5.117965171
30,0.187287750632247,0.042084406471974894,0.020046236760432407,0.010568798885745023,0.002257535881038095,3|1|3|10|8.211260476|5.020135758
31,0.21031515935167355,0.04506655009466344,0.011213877746945966,0.008735163805169477,0.0019367472123177215,6|0|2|10|7.162582668|5.102447958
32,0.4311483027194257,0.12572824193100404,0.035135938951247524,0.008000135862830403,0.001977535903639611,5|1|1|2|7.035777848|4.952769374
33,0.39696356896831614,0.10511053311615577,0.1411688213083249,0.022196227155876883,0.028594704924216813,3|0|4|2|7.353587949|4.71815563
34,0.2009080508662235,0.04467809364039066,0.01202228414498654,0.005573699798694158,0.004636881328891202,5|1|3|5|7.2638701|5.058114363
35,0.09593759328697483,0.06352411472046016,0.010936087086852715,0.004499992191214944,0.0021129392260246225,3|1|1|20|8.548710187|5.046250314
36,0.14585111096222989,0.050412637711165505,0.049139574811454374,0.007741752743995024,0.0009488888050670092,3|0|1|100|9.858304322|5.066162087
37,0.4067070669925792,0.18757851830808378,0.14184918202241759,0.03158109151922892,0.003385460899927551,5|1|2|1|6.951937423|4.79503586
38,0.19315747837166797,0.045141799788492316,0.010347692302678535,0.005018597158943653,0.002257535881038095,6|1|2|10|7.466488455|5.097368445
39,0.38207235663897426,0.16369866554328746,0.11332112404015744,0.02836628229880745,0.020566200473628945,3|0|2|1|7.285531686|4.401580549
40,0.1453871452859665,0.04226435692128518,0.04784374580021748,0.007749304259546928,0.000926894894039956,5|0|1|100|9.702370112|5.117968127
41,0.08936043669008038,0.044466024348327186,0.04061055133833493,0.0070313976600100605,0.0007671196258526672,7|1|1|100|9.726829514|5.123157473
42,0.42563457658824433,0.06911437394563281,0.04103224810729041,0.015208312464198027,0.001961106668584201,6|1|3|2|6.867241668|4.983829961
43,0.1476638870554253,0.06764140221633136,0.016440053149386603,0.011789262194297925,0.0027170636385571247,4|0|4|20|7.958239493|5.096536076
44,0.08672016642531555,0.04422708310371599,0.024171420076890243,0.005569517317062698,0.0017620972124455338,6|1|4|50|8.902718788|5.117955552
45,0.3979084839294389,0.21867571637137917,0.07191539209214791,0.03361671434728998,0.015966195522152477,6|1|2|1|6.771370616|4.850979895
46,0.38207235663897426,0.18757851830808378,0.14567050842396703,0.033550947674968044,0.003385460899927551,5|0|2|1|6.415403762|4.837142461
47,0.187287750632247,0.041940093831876475,0.019455715030261906,0.008215046773827199,0.002257535881038095,4|1|3|10|7.782709969|5.08035737
48,0.39696356896831614,0.10511053311615577,0.06276395158361382,0.022196227155876883,0.028594704924216813,4|0|4|2|6.812883235|4.915289944
49,0.1462894271458907,0.06876079724015605,0.01523997662355761,0.009885485801802945,0.0032033778370028645,7|0|1|20|7.739753612|5.115354732
50,0.08104949525485308,0.04723222460529271,0.02166671320339842,0.00601960547128033,0.0012153534454940058,3|1|1|50|9.251482411|5.059483872
51,0.09593759328697483,0.06104735807669792,0.010936087086852715,0.004499992191214944,0.0021129392260246225,3|1|2|20|8.548710187|5.046250314
52,0.14696680818685492,0.054175817423441824,0.049139574811454374,0.0072662969353402326,0.0008411945991238035,3|0|3|100|9.858304322|5.066162087
53,0.09072958382790346,0.05471105731091895,0.04487788202592641,0.007020247488683819,0.0007671196258526672,3|1|2|100|9.965784285|5.066154451
54,0.19315747837166797,0.044528526881871554,0.010347692302678535,0.005018597158943653,0.002257535881038095,7|1|2|10|7.408083432|5.099070723
55,0.4311483027194257,0.106041097326786,0.05937813022398631,0.013853119589752902,0.007935959135397306,4|1|1|2|7.324189549|4.889213047
56,0.14670547607494874,0.07164074717259293,0.016442393495295592,0.010881634512739024,0.0027170636385571247,5|0|3|20|7.834932386|5.110228707
57,0.21031515935167355,0.05625226898400698,0.011213877746945966,0.008735163805169477,0.0019367472123177215,5|0|1|10|7.256642729|5.099033588
58,0.0970986742741935,0.06491605111594022,0.010879261435071228,0.004634249373637342,0.0021129392260246225,4|1|3|20|8.21162552|5.093925707
59,0.20397050341486042,0.063381122374449,0.03297156568895628,0.010219019934817995,0.0028186076816892713,3|1|2|5|8.014260434|4.927881398
60,0.38913641552357825,0.06511171737294766,0.030509726246684812,0.010374030386927366,0.001961106668584201,7|0|1|2|6.290129465|5.022484651
61,0.08936043669008038,0.044466024348327186,0.04061055133833493,0.0070313976600100605,0.0007671196258526672,6|1|1|100|9.740247934|5.121424796
62,0.13768233412332495,0.040464027220986715,0.023673484843683958,0.010045629397344666,0.002944103970975934,5|0|1|50|8.830730684|5.115372185
63,0.20655664617136626,0.05659361728071618,0.01094685045925872,0.008359255046096296,0.0028308818944846655,4|0|1|10|7.429866991|5.085429501
64,0.10033276381150587,0.06864785290434208,0.011451541159916553,0.00570509716917635,0.0021842288384713465,6|1|4|20|7.978390142|5.111081381
65,0.19315747837166797,0.05072409864210857,0.010347692302678535,0.005018597158943653,0.002257535881038095,6|1|1|10|7.466488455|5.097367013
66,0.1459294737970113,0.06672103259506952,0.016303365810829924,0.011981792647252389,0.0027170636385571247,4|0|1|20|7.958239493|5.096536076
67,0.14949283305343092,0.054175817423441824,0.04482781721184643,0.0072662969353402326,0.0008411945991238035,3|0|4|100|9.858304322|5.066162087
68,0.4067070669925792,0.16369866554328746,0.11332112404015744,0.02836628229880745,0.020566200473628945,3|1|4|1|7.835102979|4.33936051
69,0.38207235663897426,0.16369866554328746,0.15824767232633283,0.02836628229880745,0.020566200473628945,4|0|2|1|6.713324647|4.726992878
70,0.10015509832755494,0.06491605111594022,0.010879261435071228,0.004634249373637342,0.0021129392260246225,3|1|4|20|8.548710187|5.046250314
71,0.08284595289954626,0.050152527515219515,0.02216719866715281,0.004863417412213562,0.0012153534454940058,3|1|3|50|9.251482411|5.059483872
72,0.14048058584870135,0.04415564234145154,0.026704669011990947,0.010355091019683049,0.002998108801102255,6|0|4|50|8.797687462|5.118824889
73,0.2009080508662235,0.06261490949918552,0.033873626802787334,0.0047186506311107474,0.002651948328945077,3|1|3|5|8.014260434|4.927881398
74,0.09773534107778742,0.05426295143410829,0.03995666396290617,0.006587624276887068,0.0006891208292825421,4|1|4|100|9.824529208|5.104190483
75,0.21338564540483662,0.06343232291638504,0.03184010535273756,0.006884478860406821,0.002651948328945077,3|0|3|5|7.540786742|4.946186618
