row_id,b0,b1,b2,b3,b4,raw_val
0,0.3225524056042611,0.035511444181314175,0.003519599442849937,0.0015407476428173444,0.0009483383654778449,1|0|1|0|1|1|1|0|0|1|0|1|0|0|1|1|0|1|511.4
1,1.1376356049237264,0.042413998367838754,0.005957833877561279,0.0007748572075893826,0.0,1|0|1|1|0|1|0|1|0|1|1|0|0|0|1|1|0|1|251.4
2,0.04908546800208265,0.029265687513195172,0.0260646507728189,0.03891041077856515,0.013098093810203734,1|0|1|1|0|1|0|0|1|1|0|1|0|1|1|0|0|0|262
3,1.2124865690720728,0.11151836660697506,0.005681995815656045,0.000774857207589361,0.0,1|1|1|1|0|1|0|0|1|1|1|0|0|0|0|0|1|0|250.2
4,0.043233033362850365,0.11121599646003826,0.07198606116635689,0.030413797453701208,0.024558976376014473,1|0|0|0|0|1|0|1|0|1|0|1|0|0|1|0|0|0|264.6
5,0.37243737387910786,0.05119832905728153,0.008809153155345134,0.0034421638204231906,0.0008969952033394943,1|0|1|0|1|1|0|0|1|1|0|1|0|0|0|0|1|0|478.4
6,0.5074620005384566,0.009898115999626778,0.0025767077127455133,0.0007748572075892521,0.0,1|0|1|0|1|1|0|1|0|1|1|0|0|0|0|0|1|0|320.4
7,0.048786976081814704,0.018138824520805782,0.017956034370805393,0.016511011351666233,0.005119641425330876,1|0|0|0|0|1|0|0|1|1|0|1|0|1|0|0|0|1|263.6
8,0.37182115213838357,0.04763879175863616,0.008221994990442166,0.0031824325292454016,0.0014761249017282616,1|0|1|0|1|1|0|0|1|1|0|1|0|0|0|0|0|0|477.4
9,1.786351523042,0.12461700953968084,0.002556165603551763,0.0007748572075892671,0.0,1|1|0|0|0|1|0|1|0|1|1|0|0|0|1|0|1|0|249.2
10,2.090982775493568,0.08054208781788469,0.002556165603551776,0.0007748572075893792,0.0,1|0|1|1|0|1|1|0|0|1|1|0|0|0|1|0|1|0|249.6
11,0.30005053180378355,0.049386655646697544,0.007511248769529976,0.003861044427839731,0.0018058120061611588,1|1|1|0|1|1|0|0|1|1|0|1|0|1|1|1|0|0|477.4
12,0.3225524056042611,0.03174326459260369,0.004324992628607325,0.002065332131177867,0.0013814758792984078,1|1|1|0|1|1|1|0|0|1|0|1|0|1|1|1|1|1|511.2
13,0.09611481914013863,0.02607753465624766,0.011963943663712931,0.011018233678105062,0.008964985238983725,1|0|0|0|0|1|0|0|1|1|0|1|0|1|1|1|1|1|266.2
14,0.30617034407955673,0.040415135021425574,0.007244443608815566,0.0012293502546134086,0.00037118460737689286,1|0|1|0|1|1|0|1|0|1|0|1|1|0|1|1|1|0|518
15,0.04247190374029354,0.02835592163973729,0.03012074388219651,0.014805762013505848,0.009192493618871101,1|0|1|1|0|1|0|0|1|1|0|1|0|1|1|0|0|1|263.6
16,0.041359132042714394,0.028773476638636167,0.022202533743227112,0.017686267760501435,0.017389747381916267,1|0|0|0|0|1|0|0|1|1|0|1|0|1|1|0|0|0|261.6
17,0.9815938436801726,0.0446727698666988,0.0025450254080273352,0.0007748572075893285,0.0,1|1|0|0|0|1|0|1|0|1|1|0|0|0|1|1|1|1|251.2
18,0.04384836121304962,0.11340026638504194,0.06973954000048166,0.029996868417276855,0.021844447718152894,1|0|0|0|0|1|0|1|0|1|0|1|0|1|0|0|0|0|262.2
19,0.5204948311225609,0.04737342282861376,0.002477755832069917,0.0007748572075893016,0.0,1|1|1|0|1|1|0|1|0|1|1|0|0|0|1|0|0|1|322
20,0.08682612657748538,0.18158947605077155,0.16855863597938847,0.15816277756389271,0.1119653551118078,1|0|1|1|0|1|0|1|0|1|0|1|0|1|1|1|0|0|263.4
21,0.9426807147872144,0.03585071211579091,0.012381057908140283,0.0007748572075893645,0.0,1|1|1|1|0|1|1|0|0|1|1|0|0|0|1|0|0|1|251.4
22,0.32298656167586837,0.035297640181391934,0.004379081916162963,0.0009942993472378556,0.0009588187537349307,1|1|1|0|1|1|1|0|0|1|0|1|1|0|1|1|0|1|518.6
23,0.36746781636679693,0.04763879175863616,0.008226108564789681,0.0033263465096971066,0.0021406810956950866,1|0|1|0|1|1|0|0|1|1|0|1|0|1|0|0|0|0|477.6
24,0.3007498685756105,0.054153898056381884,0.007786259643063022,0.0030915487902849217,0.0020220912337041877,1|1|1|0|1|1|0|0|1|1|0|1|0|1|1|1|1|1|478.8
25,0.041956802732174316,0.050585192501207146,0.0334873176508123,0.015299648916328729,0.0063864373728207595,1|0|1|1|0|1|0|1|0|1|0|1|0|0|1|0|0|1|264.2
26,1.2531548703819504,0.07152276114494792,0.0025561656035517706,0.0007748572075893514,0.0,1|0|0|0|0|1|0|1|0|1|1|0|0|0|1|0|1|1|249.6
27,0.09062923910333355,0.015833839639122285,0.023877338247146475,0.012515281844949428,0.01138459129240326,1|1|0|0|0|1|0|0|1|1|0|1|0|0|0|0|1|0|262.2
28,0.30564158033143135,0.03940993195053953,0.0032946172174833427,0.0021177295545704643,0.0011292828135012242,1|0|1|0|1|1|0|1|0|1|0|1|0|0|1|1|1|0|511
29,0.0403255372921065,0.02629476520674673,0.03358951604905683,0.014036676300242069,0.007397571843595168,1|1|0|0|0|1|1|0|0|1|0|1|0|0|1|1|0|0|262
30,1.9970013667236086,0.11373599618961704,0.022514665620762545,0.000774857207589361,0.0,1|0|1|1|0|1|0|0|1|1|1|0|0|0|1|0|0|0|250.6
31,2.207703385701432,0.3326312771310232,0.002556165603551775,0.0007748572075893495,0.0,1|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|1|0|249
32,1.7784193053744195,0.12165387137233964,0.002556165603551763,0.0007748572075892671,0.0,1|1|0|0|0|1|0|0|1|1|1|0|0|0|1|0|1|0|249.6
33,0.09679341953565208,0.03280343109921282,0.031115208516545707,0.008670051700160384,0.008238859640731474,1|0|1|1|0|1|0|0|1|1|0|1|0|0|1|1|0|1|264
34,0.5575121342883542,0.1495188709326545,0.051775669174651914,0.0007748572075893327,0.0,1|1|1|0|1|1|1|0|0|1|1|0|0|0|1|1|0|0|320.2
35,0.5578582990447387,0.13765648077434978,0.0026774939981913755,0.0007748572075893294,0.0,1|1|1|0|1|1|1|0|0|1|1|0|0|0|1|0|0|1|321.8
36,0.3733076893187896,0.032234773636205145,0.003346496003935287,0.0013407323334767266,0.0010509444960783863,1|0|1|0|1|1|1|0|0|1|0|1|0|0|0|0|1|1|511.2
37,0.03632061470679537,0.04267059192068668,0.04399059587241919,0.04401929632453495,0.03779024456803344,1|1|1|1|0|1|0|1|0|1|0|1|0|0|1|0|1|1|264
38,0.37372635769780843,0.031562931908186015,0.0070257161178061255,0.0010168720936339162,0.0005514023307630847,1|1|1|0|1|1|1|0|0|1|0|1|1|0|1|0|1|0|518.2
39,0.5443981335407702,0.07672535086272897,0.0025561056891500885,0.0007748572075893198,0.0,1|0|1|0|1|1|1|0|0|1|1|0|0|0|0|0|1|0|320.4
40,1.7402895270056693,0.10842109407126277,0.002556165603551762,0.0007748572075893247,0.0,1|1|0|0|0|1|0|1|0|1|1|0|0|0|1|1|1|0|249.8
41,0.051432229040601685,0.10676134111755696,0.02429010093153618,0.011781191158535894,0.007118324862267781,1|0|0|0|0|1|0|1|0|1|0|1|0|1|1|0|1|0|262.2
42,1.5988739711037925,0.11151836660697506,0.005681995815656045,0.000774857207589361,0.0,1|1|1|1|0|1|0|1|0|1|1|0|0|0|0|0|1|0|249.8
43,0.30547702527437887,0.05289523274649603,0.007100440775582529,0.003961736722138262,0.0002605814361149513,1|1|1|0|1|1|0|0|1|1|0|1|1|0|1|1|0|0|480.8
44,0.37372635769780843,0.035297640181391934,0.0071288039037290165,0.0009447700563835347,0.00036722703853021274,1|1|1|0|1|1|1|0|0|1|0|1|1|0|0|0|0|0|517.6
45,0.5078503892593683,0.044459330926916285,0.003449199585846911,0.0007748572075893721,0.0,1|0|1|0|1|1|0|1|0|1|1|0|0|0|1|1|0|0|320.2
46,0.30617034407955673,0.05435176143999054,0.00766604732460304,0.006931248441609023,0.0008850094804381575,1|0|1|0|1|1|0|0|1|1|0|1|1|0|1|1|1|1|484.4
47,0.3225524056042611,0.03174326459260369,0.004323586905330258,0.002512483136318444,0.0008146369012117994,1|1|1|0|1|1|1|0|0|1|0|1|0|0|1|1|1|0|512.4
48,0.49227814702710865,0.04448285216458854,0.003070300737750086,0.0007748572075893721,0.0,1|1|1|0|1|1|0|1|0|1|1|0|0|0|1|1|1|0|320.8
49,2.480381710383481,0.3326312771310232,0.002556165603551775,0.0007748572075893495,0.0,1|0|0|0|0|1|0|1|0|1|1|0|0|0|1|0|0|0|248.8
50,0.09824230908623045,0.028236280032981592,0.012794281235778839,0.010632171817862244,0.008183350228934334,1|1|1|1|0|1|0|0|1|1|0|1|1|0|1|1|0|1|265.4
51,0.04731731618062911,0.033386119201340735,0.022056369267518396,0.016689707652944075,0.06549163415495544,1|1|0|0|0|1|1|0|0|1|0|1|0|1|0|0|1|1|266
52,0.30547702527437887,0.042294292618203055,0.004281857027325177,0.0012091335170848212,0.0008364777414640227,1|1|1|0|1|1|0|1|0|1|0|1|1|0|1|1|0|0|517.2
53,0.036400345374093195,0.03496850425733245,0.03069547214720315,0.01588085158072312,0.006529905168722163,1|0|1|1|0|1|0|0|1|1|0|1|0|0|0|0|1|1|264
54,0.09913346296170843,0.02940577615630205,0.010632855666588273,0.011640466207898154,0.008183350228934334,1|0|1|1|0|1|0|0|1|1|0|1|1|0|1|1|0|1|265.2
55,0.03664334947124958,0.052344679052467244,0.04310401916548894,0.039213996135349385,0.040330365795906216,1|0|1|1|0|1|1|0|0|1|0|1|0|0|1|1|1|1|264
56,0.054264052327661565,0.03908322552606259,0.047644702784056324,0.04976420259112724,0.041372860741375445,1|1|0|0|0|1|1|0|0|1|0|1|0|0|1|1|0|1|263
57,0.08682612657748538,0.1779855882275962,0.17192715110585927,0.15423258000010154,0.1119653551118078,1|0|1|1|0|1|0|1|0|1|0|1|0|0|1|1|0|0|262.6
58,0.052087426400023604,0.025820615127763177,0.03369168598229021,0.0325518341929877,0.02042453172143289,1|0|0|0|0|1|1|0|0|1|0|1|1|0|1|1|1|0|262.8
59,0.08698895600344805,0.1828909206927277,0.1653997580319481,0.15720315447828045,0.1119653551118078,1|1|1|1|0|1|0|1|0|1|0|1|0|1|1|1|0|0|263.4
60,0.034883256886920386,0.029463633434658416,0.03213050332518923,0.03187682008127162,0.004311708103920049,1|0|1|1|0|1|0|0|1|1|0|1|0|1|1|0|1|1|263.6
61,0.053708060508033326,0.04644647880476097,0.011634264613702755,0.01256718954559139,0.0063803879622640804,1|1|0|0|0|1|0|1|0|1|0|1|1|0|1|0|0|0|262.8
62,0.3225524056042611,0.035037104852649714,0.004122873820349302,0.0022504953845392385,0.0023073982629522403,1|1|1|0|1|1|1|0|0|1|0|1|0|1|1|1|0|0|512.4
63,0.37228485692761404,0.042294292618203055,0.006907690332743136,0.0010171122019340766,0.0004172529755399676,1|1|1|0|1|1|0|1|0|1|0|1|1|0|1|0|0|1|518.8
64,0.49277351090857047,0.04509071621557882,0.0027171767267339768,0.0007748572075893721,0.0,1|1|1|0|1|1|0|0|1|1|1|0|0|0|1|1|1|0|320.2
65,0.04151470736823483,0.052535266779345446,0.04616338062696487,0.03846501220276523,0.03269504228553025,1|0|1|1|0|1|1|0|0|1|0|1|0|0|1|1|0|1|264.2
66,1.2606132262926488,0.08442492716825253,0.002556165603551734,0.0007748572075893278,0.0,1|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|1|249.2
67,1.2835353603052062,0.11408238406954593,0.022514665620762545,0.000774857207589361,0.0,1|1|1|1|0|1|0|0|1|1|1|0|0|0|0|0|0|0|250
68,0.040939351962672836,0.028251023231069487,0.026771885980614692,0.02037807285338619,0.018137136030470156,1|0|0|0|0|1|0|1|0|1|0|1|0|1|1|0|1|1|263.6
69,0.5204948311225608,0.047397357167071816,0.002477755832069917,0.0007748572075893016,0.0,1|0|1|0|1|1|0|1|0|1|1|0|0|0|0|0|0|1|321.8
70,0.035268117447373376,0.05250131882181618,0.04251416860184746,0.031287145552257374,0.024037750794707522,1|0|1|1|0|1|0|1|0|1|0|1|0|0|1|0|1|1|264
71,0.04173298613585588,0.04395092613459223,0.038657960801366124,0.04132909759686857,0.03791652672106485,1|1|1|1|0|1|1|0|0|1|0|1|0|1|1|1|0|1|264
72,0.37372635769780843,0.0321922486005796,0.006461164567106643,0.0007659799631035381,0.0006677987223676155,1|0|1|0|1|1|1|0|0|1|0|1|1|0|1|0|1|1|520.2
73,1.6593388186855829,0.12600157579795435,0.002556165603551762,0.0007748572075893247,0.0,1|1|1|1|0|1|1|0|0|1|1|0|0|0|1|1|0|0|249.6
